domain	property	range	count
Q5	P101	Q56055944	552
Q5	P101	Q1799072	460
Q5	P101	Q1792644	392
Q5	P101	Q11862829	154
Q5	P101	Q1792379	144
Q5	P101	Q11177771	59
Q5	P101	Q968159	45
Q5	P101	Q4671286	38
Q5	P101	Q4502142	31
Q5	P101	Q8148	28
Q5	P101	Q627436	23
Q5	P101	Q1047113	22
Q5	P101	Q64222339	22
Q5	P101	Q268592	20
Q5	P101	Q1231896	18
Q5	P101	Q16743958	18
Q5	P101	Q201658	16
Q5	P101	Q1408286	11
Q5	P101	Q1437361	11
Q5	P101	Q28640	11
Q5	P101	Q483394	11
Q5	P101	Q3300034	9
Q5	P101	Q12737077	7
Q5	P101	Q1292119	6
Q5	P101	Q3100808	6
Q5	P101	Q32880	6
Q5	P101	Q4263830	6
Q5	P101	Q8187769	6
Q5	P101	Q223393	5
Q5	P101	Q24017852	5
Q5	P101	Q2465832	5
Q5	P101	Q3958441	5
Q5	P101	Q188451	4
Q1747829	P101	Q1792644	3
Q1747829	P101	Q24017852	3
Q5	P101	Q11488158	3
Q5	P101	Q12015335	3
Q5	P101	Q17489659	3
Q5	P101	Q17524420	3
Q5	P101	Q1914636	3
Q5	P101	Q2267705	3
Q5	P101	Q28813620	3
Q5	P101	Q576639	3
Q5	P101	Q6630149	3
Q5	P101	Q88789639	3
Q5	P101	Q1001378	2
Q5	P101	Q107487333	2
Q5	P101	Q109598321	2
Q5	P101	Q11790203	2
Q5	P101	Q1936384	2
Q5	P101	Q234460	2
Q5	P101	Q26904132	2
Q5	P101	Q28797	2
Q5	P101	Q3249551	2
Q5	P101	Q4785472	2
Q5	P101	Q107356781	1
Q5	P101	Q108161738	1
Q5	P101	Q109551565	1
Q5	P101	Q110013851	1
Q5	P101	Q11921029	1
Q5	P101	Q120560	1
Q5	P101	Q133311	1
Q5	P101	Q15142889	1
Q5	P101	Q151885	1
Q5	P101	Q1665984	1
Q5	P101	Q187588	1
Q5	P101	Q20087698	1
Q5	P101	Q214609	1
Q5	P101	Q22811234	1
Q5	P101	Q23038290	1
Q5	P101	Q2312410	1
Q5	P101	Q2572794	1
Q5	P101	Q2695280	1
Q5	P101	Q28598684	1
Q5	P101	Q31629	1
Q5	P101	Q323466	1
Q5	P101	Q32815	1
Q5	P101	Q3326717	1
Q5	P101	Q334166	1
Q5	P101	Q33506	1
Q5	P101	Q3947	1
Q5	P101	Q41511	1
Q5	P101	Q4162444	1
Q5	P101	Q4164871	1
Q5	P101	Q41710	1
Q5	P101	Q4894405	1
Q5	P101	Q5	1
Q5	P101	Q570116	1
Q5	P101	Q5891	1
Q5	P101	Q621993	1
Q5	P101	Q62302889	1
Q5	P101	Q7777573	1
Q5	P101	Q81517619	1
Q5	P101	Q862597	1
Q5	P101	Q96371632	1
Q5	P101	Q96440023	1
Q5	P102	Q7278	104
Q5	P102	Q2023214	19
Q5	P102	Q15811108	16
Q5	P102	Q233591	15
Q5	P102	Q23702035	4
Q5	P102	Q43229	4
Q5	P102	Q1393724	3
Q5	P102	Q3778417	3
Q5	P102	Q1030814	2
Q5	P102	Q108564724	2
Q5	P102	Q6738353	2
Q5	P102	Q848197	2
Q5	P102	Q11744698	1
Q5	P102	Q40482169	1
Q5	P102	Q43791339	1
Q5	P102	Q6065085	1
Q5	P102	Q6138528	1
Q5	P102	Q7210356	1
Q5	P1026	Q187685	4
Q5	P103	Q34770	208
Q5	P103	Q1288568	187
Q5	P103	Q33742	96
