domain	property	range	count
Q5	P10	commonsMedia	2
Q5	P10006	external-id	2
Q5	P10012	external-id	4
Q5	P10013	external-id	1
Q5	P10018	external-id	27
Q5	P10021	external-id	1
Q5	P10028	external-id	1
Q5	P1003	external-id	3
Q5	P10031	external-id	45
Q20643955	P10031	external-id	2
Q5	P10033	external-id	11
Q5	P1005	external-id	163
Q20643955	P1005	external-id	2
Q43412	P1005	external-id	1
Q5	P10052	external-id	2
Q5	P10059	external-id	2
Q5	P1006	external-id	1322
Q20643955	P1006	external-id	2
Q1802401	P1006	external-id	1
Q858157	P1006	external-id	1
Q5	P10069	external-id	238
Q5	P10083	external-id	1
Q5	P10085	external-id	6
Q5	P10086	external-id	2
Q5	P10092	external-id	4
Q5	P10097	external-id	2
Q5	P10106	external-id	1
Q5	P10116	external-id	1
Q5	P10126	external-id	10
Q5	P10141	external-id	22
Q5	P1015	external-id	488
Q1802401	P1015	external-id	1
Q20643955	P1015	external-id	1
Q5	P10163	external-id	2
Q5	P10166	external-id	2
Q5	P1017	external-id	160
Q20643955	P1017	external-id	2
Q168827	P1017	external-id	1
Q1802401	P1017	external-id	1
Q5	P10180	external-id	1
Q5	P10187	external-id	2
Q5	P10189	external-id	7
Q5	P10194	external-id	2
Q5	P10222	external-id	1
Q5	P10226	external-id	1
Q5	P10227	external-id	20
Q20643955	P10227	external-id	1
Q5	P10231	external-id	8
Q5	P10234	external-id	2
Q5	P10242	external-id	94
Q20643955	P10242	external-id	5
Q110550976	P10242	external-id	1
Q110556685	P10242	external-id	1
Q168827	P10242	external-id	1
Q1802401	P10242	external-id	1
Q43412	P10242	external-id	1
Q5	P10252	external-id	4
Q5	P10266	external-id	9
Q5	P10275	external-id	1
Q5	P10283	external-id	2
Q5	P10288	external-id	1
Q5	P10291	external-id	2
Q5	P10297	external-id	405
Q1747829	P10297	external-id	4
Q25377923	P10297	external-id	1
Q61002	P10297	external-id	1
Q5	P10298	external-id	2
Q5	P10307	external-id	2
Q5	P10314	external-id	5
Q5	P1036	external-id	5
Q5	P10372	external-id	1
Q5	P10399	external-id	3
Q20643955	P10399	external-id	1
Q5	P10404	external-id	2
Q5	P10416	external-id	1
Q5	P10436	external-id	1
Q5	P1045	external-id	3
Q5	P10469	external-id	1
Q5	P1047	external-id	19
Q20643955	P1047	external-id	1
Q5	P1048	external-id	1
Q5	P10480	external-id	8
Q5	P1051	external-id	2
Q20643955	P1051	external-id	1
Q5	P10516	external-id	1
Q5	P10525	external-id	2
Q5	P1053	external-id	2
Q5	P10536	external-id	2
Q5	P10554	external-id	2
Q5	P109	commonsMedia	85
Q5	P1138	external-id	155
Q5	P1146	external-id	2
Q5	P1149	external-id	5
Q5	P1150	external-id	13
Q1802401	P1150	external-id	1
Q5	P1153	external-id	7
Q5	P1157	external-id	19
Q5	P1185	external-id	11
Q5	P1186	external-id	1
Q5	P1187	external-id	3
Q20643955	P1187	external-id	1
Q5	P1207	external-id	1001
Q1802401	P1207	external-id	1
Q20643955	P1207	external-id	1
Q5	P1213	external-id	9
Q5	P1220	external-id	36
Q20643955	P1220	external-id	1
Q43412	P1220	external-id	1
Q5	P1225	external-id	44
Q20643955	P1225	external-id	1
Q5	P1233	external-id	143
Q5	P1245	external-id	2
Q20643955	P1245	external-id	1
Q5	P1248	external-id	110
Q5	P1254	external-id	3
Q5	P1255	external-id	2
Q5	P1256	external-id	17
Q20643955	P1256	external-id	7
Q168827	P1256	external-id	1
Q5	P1258	external-id	17
Q5	P1260	external-id	27
Q5	P1263	external-id	134
Q20643955	P1263	external-id	6
Q168827	P1263	external-id	1
Q43412	P1263	external-id	1
Q5	P1266	external-id	87
Q5	P1273	external-id	207
Q20643955	P1273	external-id	5
Q168827	P1273	external-id	1
Q1802401	P1273	external-id	1
Q43412	P1273	external-id	1
Q5	P1276	external-id	1
Q5	P1280	external-id	323
Q20643955	P1280	external-id	1
Q5	P1284	external-id	133
Q5	P1285	external-id	4
Q5	P1286	external-id	7
Q5	P1287	external-id	3
Q5	P1288	external-id	1
Q5	P1289	external-id	1
Q5	P1291	external-id	1
Q5	P1296	external-id	202
Q20643955	P1296	external-id	9
Q168827	P1296	external-id	1
Q1802401	P1296	external-id	1
Q43412	P1296	external-id	1
Q5	P1307	external-id	1
Q5	P1309	external-id	19
Q20643955	P1309	external-id	1
Q5	P1315	external-id	432
Q1802401	P1315	external-id	1
Q20643955	P1315	external-id	1
Q5	P1317	time	94
Q7881	P1317	time	1
Q5	P1329	string	1
Q5	P1331	external-id	2
Q5	P1341	external-id	6
Q5	P1350	quantity	3
Q5	P1352	quantity	1
Q5	P1362	external-id	2
Q5	P1367	external-id	386
Q5	P1368	external-id	145
Q20643955	P1368	external-id	1
Q5	P1375	external-id	74
Q20643955	P1375	external-id	1
Q5	P1392	external-id	4
Q5	P1409	external-id	1
Q5	P1415	external-id	279
Q5	P1417	external-id	335
Q20643955	P1417	external-id	9
Q110550976	P1417	external-id	1
Q110556685	P1417	external-id	1
Q168827	P1417	external-id	1
Q1802401	P1417	external-id	1
Q43412	P1417	external-id	1
Q5	P1422	external-id	48
Q20643955	P1422	external-id	9
Q168827	P1422	external-id	1
Q1802401	P1422	external-id	1
Q43412	P1422	external-id	1
Q5	P1430	external-id	65
Q20643955	P1430	external-id	1
Q5	P1438	external-id	8
Q20643955	P1438	external-id	3
Q168827	P1438	external-id	1
Q5	P1442	commonsMedia	140
Q5	P1447	external-id	49
Q5	P1448	monolingualtext	3
Q5	P1449	monolingualtext	13
Q20643955	P1449	monolingualtext	1
Q5	P1463	external-id	9
Q5	P1469	external-id	3
Q5	P1472	string	604
Q1747829	P1472	string	2
Q25377923	P1472	string	1
Q5	P1473	external-id	5
Q5	P1477	monolingualtext	117
Q20643955	P15	commonsMedia	1
Q5	P15	commonsMedia	1
Q5	P154	commonsMedia	3
Q5	P1543	commonsMedia	3
Q5	P1553	external-id	12
Q5	P1556	external-id	12
Q5	P1559	monolingualtext	709
Q20643955	P1559	monolingualtext	9
Q168827	P1559	monolingualtext	1
Q1747829	P1559	monolingualtext	1
Q1802401	P1559	monolingualtext	1
Q43412	P1559	monolingualtext	1
Q5	P1563	external-id	6
Q5	P1564	external-id	1
Q5	P1565	external-id	4
Q5	P158	commonsMedia	1
Q5	P1580	external-id	172
Q20643955	P1580	external-id	2
Q1802401	P1580	external-id	1
Q5	P1581	url	2
Q5	P1599	external-id	21
Q5	P1602	external-id	1
Q5	P1607	external-id	14
Q5	P1614	external-id	10
Q5	P1615	external-id	366
Q5	P1617	external-id	5
Q5	P1618	string	5
Q5	P1631	external-id	1
Q5	P1636	time	6
Q5	P1648	external-id	15
Q5	P1649	external-id	4
Q5	P1651	external-id	4
Q20643955	P1651	external-id	1
Q5	P1665	external-id	1
Q5	P1670	external-id	32
Q20643955	P1670	external-id	1
Q5	P1695	external-id	199
Q1802401	P1695	external-id	1
Q20643955	P1695	external-id	1
Q5	P1707	external-id	97
Q16334295	P1707	external-id	1
Q5	P1710	external-id	2
Q5	P1711	external-id	349
Q20643955	P1711	external-id	5
Q1747829	P1711	external-id	2
Q168827	P1711	external-id	1
Q1802401	P1711	external-id	1
Q5	P1712	external-id	8
Q5	P1714	external-id	2
Q5	P1728	external-id	58
Q5	P1736	external-id	48
Q5	P1741	external-id	98
Q20643955	P1741	external-id	3
Q5	P1749	external-id	1
Q5	P1766	commonsMedia	2
Q5	P1782	string	1
Q5	P1788	external-id	2
Q5	P1795	external-id	225
Q5	P18	commonsMedia	2401
Q20643955	P18	commonsMedia	10
Q1062083	P18	commonsMedia	1
Q110550976	P18	commonsMedia	1
Q110556685	P18	commonsMedia	1
Q168827	P18	commonsMedia	1
