property	count	property;label	percentage
P17	1043	'country'@en	100.0%
P625	1033	'coordinate location'@en	99.04%
P646	987	'Freebase ID'@en	94.63%
P131	918	'located in the administrative territorial entity'@en	88.02%
P18	896	'image'@en	85.91%
P373	714	'Commons category'@en	68.46%
P7959	678	'historic county'@en	65.0%
P1435	608	'heritage designation'@en	58.29%
P1566	369	'GeoNames ID'@en	35.38%
P4141	242	'Gatehouse Gazetteer place ID'@en	23.2%
P571	219	'inception'@en	21.0%
P1216	161	'National Heritage List for England number'@en	15.44%
