property	count	property;label	percentage
P17	1043	'country'@en	100.0%
P625	1033	'coordinate location'@en	99.04%
P646	987	'Freebase ID'@en	94.63%
P131	918	'located in the administrative territorial entity'@en	88.02%
P18	896	'image'@en	85.91%
P373	714	'Commons category'@en	68.46%
P7959	678	'historic county'@en	65.0%
P1435	608	'heritage designation'@en	58.29%
P1566	369	'GeoNames ID'@en	35.38%
P4141	242	'Gatehouse Gazetteer place ID'@en	23.2%
P571	219	'inception'@en	21.0%
P1216	161	'National Heritage List for England number'@en	15.44%
P718	148	'Canmore ID'@en	14.19%
P709	144	'Historic Scotland ID'@en	13.81%
P276	138	'location'@en	13.23%
P856	133	'official website'@en	12.75%
P613	129	'OS grid reference'@en	12.37%
P214	127	'VIAF ID'@en	12.18%
P6375	105	'street address'@en	10.07%
P127	88	'owned by'@en	8.44%
P4839	78	'Wolfram Language entity code'@en	7.48%
P88	72	'commissioned by'@en	6.9%
P7859	70	'WorldCat Identities ID'@en	6.71%
P137	68	'operator'@en	6.52%
P149	66	'architectural style'@en	6.33%
P361	64	'part of'@en	6.14%
P1705	54	'native label'@en	5.18%
P381	53	'PCP reference number'@en	5.08%
P227	51	'GND ID'@en	4.89%
P2044	48	'elevation above sea level'@en	4.6%
P2817	46	'appears in the heritage monument list'@en	4.41%
P2186	44	'Wiki Loves Monuments ID'@en	4.22%
P9284	39	'GB1900 ID'@en	3.74%
P7630	37	'Dictionary of Scottish Architects building ID'@en	3.55%
P84	35	'architect'@en	3.36%
P793	35	'significant event'@en	3.36%
P9154	34	'Heritage Information System ID in the database of cultural heritage in Austria'@en	3.26%
P9042	34	'DiCamillo Database Country House ID'@en	3.26%
P3481	34	'Parks & Gardens UK record ID'@en	3.26%
P2951	34	'Cultural heritage database in Austria ObjektID'@en	3.26%
P1889	32	'different from'@en	3.07%
P281	31	'postal code'@en	2.97%
P935	28	'Commons gallery'@en	2.68%
P527	28	'has part or parts'@en	2.68%
P2789	28	'connects with'@en	2.68%
P244	27	'Library of Congress authority ID'@en	2.59%
P1249	27	'time of earliest written record'@en	2.59%
P1459	26	'Cadw Building ID'@en	2.49%
P112	26	'founded by'@en	2.49%
P5816	25	'state of conservation'@en	2.4%
P4658	25	'Coflein ID'@en	2.4%
P910	24	'topic\'s main category'@en	2.3%
P2581	24	'BabelNet ID'@en	2.3%
P186	23	'made from material'@en	2.21%
P7561	22	'category for the interior of the item'@en	2.11%
P902	21	'HDS ID'@en	2.01%
P2671	21	'Google Knowledge Graph ID'@en	2.01%
P5383	20	'archINFORM project ID'@en	1.92%
P4088	18	'Irish National Inventory of Architectural Heritage ID'@en	1.73%
P808	17	'Bien de Interés Cultural (BIC) code'@en	1.63%
P706	17	'located in/on physical feature'@en	1.63%
P466	17	'occupant'@en	1.63%
