domain	property	range	count	domain;label	property;label	range;label
Q23413	P7959	Q67376938	294.0	'castle'@en	'historic county'@en	'historic county of the United Kingdom'@en
Q23413	P7959	Q1138494	290.0	'castle'@en	'historic county'@en	'historic county of England'@en
Q23413	P7959	Q1350181	215.0	'castle'@en	'historic county'@en	'shire of Scotland'@en
Q23413	P7959	Q7309443	143.0	'castle'@en	'historic county'@en	'registration county'@en
Q23413	P7959	Q179872	91.0	'castle'@en	'historic county'@en	'county of Ireland'@en
Q23413	P7959	Q202435	68.0	'castle'@en	'historic county'@en	'lieutenancy area of Scotland'@en
Q23413	P7959	Q1857731	42.0	'castle'@en	'historic county'@en	'historic county of Wales'@en
Q23413	P7959	Q1317848	40.0	'castle'@en	'historic county'@en	'county of Northern Ireland'@en
Q23413	P7959	Q7925010	31.0	'castle'@en	'historic county'@en	'vice-county'@en
Q23413	P7959	Q2991489	28.0	'castle'@en	'historic county'@en	'county palatine'@en
Q2087181	P7959	Q1138494	20.0	'historic house museum'@en	'historic county'@en	'historic county of England'@en
Q1343246	P7959	Q1138494	14.0	'English country house'@en	'historic county'@en	'historic county of England'@en
Q839954	P7959	Q67376938	14.0	'archaeological site'@en	'historic county'@en	'historic county of the United Kingdom'@en
Q23413	P7959	Q21457810	13.0	'castle'@en	'historic county'@en	'Scottish district'@en
Q839954	P7959	Q1857731	11.0	'archaeological site'@en	'historic county'@en	'historic county of Wales'@en
Q839954	P7959	Q1138494	10.0	'archaeological site'@en	'historic county'@en	'historic county of England'@en
Q180174	P7959	Q1138494	8.0	'folly'@en	'historic county'@en	'historic county of England'@en
Q23413	P7959	Q19953632	7.0	'castle'@en	'historic county'@en	'former administrative territorial entity'@en
Q92062	P7959	Q1138494	7.0	'motte-and-bailey castle'@en	'historic county'@en	'historic county of England'@en
Q23413	P7959	Q683738	6.0	'castle'@en	'historic county'@en	'Administrative subdivision of Wales'@en
Q5267014	P7959	Q1138494	6.0	'Device Fort'@en	'historic county'@en	'historic county of England'@en
Q839954	P7959	Q1350181	6.0	'archaeological site'@en	'historic county'@en	'shire of Scotland'@en
Q109607	P7959	Q1138494	5.0	'ruins'@en	'historic county'@en	'historic county of England'@en
Q839954	P7959	Q7309443	5.0	'archaeological site'@en	'historic county'@en	'registration county'@en
Q19860854	P7959	Q67376938	4.0	'destroyed building or structure'@en	'historic county'@en	'historic county of the United Kingdom'@en
Q2772772	P7959	Q1138494	4.0	'military museum'@en	'historic county'@en	'historic county of England'@en
Q879050	P7959	Q1138494	4.0	'manor house'@en	'historic county'@en	'historic county of England'@en
Q91312	P7959	Q1350181	4.0	'tower house'@en	'historic county'@en	'shire of Scotland'@en
Q91312	P7959	Q67376938	4.0	'tower house'@en	'historic county'@en	'historic county of the United Kingdom'@en
Q91312	P7959	Q7309443	4.0	'tower house'@en	'historic county'@en	'registration county'@en
Q19860854	P7959	Q1350181	3.0	'destroyed building or structure'@en	'historic county'@en	'shire of Scotland'@en
Q19860854	P7959	Q179872	3.0	'destroyed building or structure'@en	'historic county'@en	'county of Ireland'@en
Q27686	P7959	Q179872	3.0	'hotel'@en	'historic county'@en	'county of Ireland'@en
Q32164125	P7959	Q1857731	3.0	'fortified manor house'@en	'historic county'@en	'historic county of Wales'@en
Q32164125	P7959	Q67376938	3.0	'fortified manor house'@en	'historic county'@en	'historic county of the United Kingdom'@en
Q839954	P7959	Q202435	3.0	'archaeological site'@en	'historic county'@en	'lieutenancy area of Scotland'@en
Q839954	P7959	Q683738	3.0	'archaeological site'@en	'historic county'@en	'Administrative subdivision of Wales'@en
Q839954	P7959	Q7925010	3.0	'archaeological site'@en	'historic county'@en	'vice-county'@en
Q91312	P7959	Q202435	3.0	'tower house'@en	'historic county'@en	'lieutenancy area of Scotland'@en
Q1343246	P7959	Q2991489	2.0	'English country house'@en	'historic county'@en	'county palatine'@en
Q1595639	P7959	Q1138494	2.0	'local museum'@en	'historic county'@en	'historic county of England'@en
Q17715832	P7959	Q1138494	2.0	'castle ruin'@en	'historic county'@en	'historic county of England'@en
Q17715832	P7959	Q179872	2.0	'castle ruin'@en	'historic county'@en	'county of Ireland'@en
Q1923257	P7959	Q1350181	2.0	'hall house'@en	'historic county'@en	'shire of Scotland'@en
Q1923257	P7959	Q67376938	2.0	'hall house'@en	'historic county'@en	'historic county of the United Kingdom'@en
Q1923257	P7959	Q7309443	2.0	'hall house'@en	'historic county'@en	'registration county'@en
Q33506	P7959	Q1350181	2.0	'museum'@en	'historic county'@en	'shire of Scotland'@en
Q33506	P7959	Q202435	2.0	'museum'@en	'historic county'@en	'lieutenancy area of Scotland'@en
Q33506	P7959	Q67376938	2.0	'museum'@en	'historic county'@en	'historic county of the United Kingdom'@en
Q33506	P7959	Q7309443	2.0	'museum'@en	'historic county'@en	'registration county'@en
