property	count	property;label	percentage
P17	427	'country'@en	100.0%
P625	402	'coordinate location'@en	94.15%
P131	360	'located in the administrative territorial entity'@en	84.31%
P18	316	'image'@en	74.0%
P1435	183	'heritage designation'@en	42.86%
P646	178	'Freebase ID'@en	41.69%
P373	166	'Commons category'@en	38.88%
P571	152	'inception'@en	35.6%
P649	151	'NRHP reference number'@en	35.36%
P856	137	'official website'@en	32.08%
P5383	116	'archINFORM project ID'@en	27.17%
P1619	92	'date of official opening'@en	21.55%
P1101	79	'floors above ground'@en	18.5%
