class	count	class;label	percentage
Q5	63585	'human'@en	28.01%
Q482994	63185	'album'@en	27.84%
Q215380	22791	'musical group'@en	10.04%
Q134556	20968	'single'@en	9.24%
Q105543609	10530	'musical work/composition'@en	4.64%
Q169930	3791	'extended play'@en	1.67%
Q18127	3541	'record label'@en	1.56%
