class	count	class;label
Q5	63585	'human'@en
Q482994	63185	'album'@en
Q215380	22791	'musical group'@en
Q134556	20968	'single'@en
Q105543609	10530	'musical work/composition'@en
Q169930	3791	'extended play'@en
Q18127	3541	'record label'@en
