domain	property	range	count
Q3305213	P1028	Q5	5
Q3305213	P1071	Q484170	24
Q3305213	P1071	Q1852859	13
Q3305213	P1071	Q5119	12
Q3305213	P1071	Q2039348	11
Q3305213	P1071	Q1549591	10
Q3305213	P1071	Q515	9
Q3305213	P1071	Q532	8
Q3305213	P1071	Q200250	7
Q3305213	P1071	Q1200957	6
Q3305213	P1071	Q13539802	6
Q3305213	P1071	Q22923920	6
Q3305213	P1071	Q6465	6
Q3305213	P1071	Q866196	6
Q3305213	P1071	Q6256	5
Q3305213	P1071	Q1637706	4
Q3305213	P1071	Q3624078	4
Q3305213	P1071	Q20181813	3
Q3305213	P1071	Q2264924	3
Q3305213	P1071	Q486972	3
Q3305213	P1071	Q51576574	3
Q3305213	P1071	Q7270	3
Q3305213	P1071	Q1093829	2
Q3305213	P1071	Q1615742	2
Q3305213	P1071	Q2074737	2
Q3305213	P1071	Q51929311	2
Q17152495	P1071	Q12781	1
Q17152495	P1071	Q12783	1
Q17152495	P1071	Q16560	1
Q17152495	P1071	Q7328910	1
Q2647254	P1071	Q2039348	1
Q3305213	P1071	Q1066984	1
Q3305213	P1071	Q112099	1
Q3305213	P1071	Q1250464	1
Q3305213	P1071	Q12781	1
Q3305213	P1071	Q12783	1
Q3305213	P1071	Q134390	1
Q3305213	P1071	Q15063611	1
Q3305213	P1071	Q16560	1
Q3305213	P1071	Q179164	1
Q3305213	P1071	Q185145	1
Q3305213	P1071	Q202686	1
Q3305213	P1071	Q208511	1
Q3305213	P1071	Q23002054	1
Q3305213	P1071	Q33146843	1
Q3305213	P1071	Q3336843	1
Q3305213	P1071	Q35657	1
Q3305213	P1071	Q3918	1
Q3305213	P1071	Q3950	1
Q3305213	P1071	Q50330360	1
Q3305213	P1071	Q518261	1
Q3305213	P1071	Q581830	1
Q3305213	P1071	Q619610	1
Q3305213	P1071	Q62049	1
Q3305213	P1071	Q713223	1
Q3305213	P1071	Q7328910	1
Q3305213	P1071	Q747074	1
Q93184	P1071	Q2039348	1
Q3305213	P127	Q5	75
Q3305213	P127	Q207694	21
Q3305213	P127	Q3624078	6
Q3305213	P127	Q17431399	5
Q3305213	P127	Q20181813	5
Q3305213	P127	Q6256	5
Q3305213	P127	Q51576574	4
Q3305213	P127	Q7270	4
Q3305213	P127	Q1007870	3
