property	count	property;label	percentage
P170	14	'creator'@en	0.13%
P1558	14	'tempo marking'@en	0.13%
P953	13	'full work available at URL'@en	0.12%
P3996	13	'Bait La Zemer Ha-Ivri song ID'@en	0.12%
P180	13	'depicts'@en	0.12%
P989	12	'spoken text audio'@en	0.11%
P9745	12	'translation of'@en	0.11%
P935	12	'Commons gallery'@en	0.11%
P7956	12	'SESAC work number'@en	0.11%
P3929	12	'V&A item ID'@en	0.11%
P1809	12	'choreographer'@en	0.11%
P9133	11	'AZLyrics.com song ID'@en	0.1%
P585	11	'point in time'@en	0.1%
P5395	11	'Canadian Encyclopedia article ID'@en	0.1%
P3931	11	'copyright holder'@en	0.1%
P737	10	'influenced by'@en	0.09%
P691	10	'NKCR AUT ID'@en	0.09%
P7818	9	'French Vikidia ID'@en	0.09%
P6058	9	'Larousse ID'@en	0.09%
P4404	9	'MusicBrainz recording ID'@en	0.09%
P1617	9	'BBC Things ID'@en	0.09%
P1296	9	'Gran Enciclopèdia Catalana ID'@en	0.09%
P7067	8	'Album of the Year album ID'@en	0.08%
P5358	8	'Operone opera ID'@en	0.08%
P5302	8	'BRAHMS work ID'@en	0.08%
P485	8	'archives at'@en	0.08%
P2093	8	'author name string'@en	0.08%
P1725	8	'beats per minute'@en	0.08%
P10	8	'video'@en	0.08%
P6686	7	'musical motif'@en	0.07%
P4097	7	'MuseScore ID'@en	0.07%
P6839	6	'TV Tropes identifier'@en	0.06%
P6348	6	'Hymnary text ID'@en	0.06%
P6166	6	'quotes work'@en	0.06%
P366	6	'has use'@en	0.06%
P364	6	'original language of film or TV show'@en	0.06%
P2819	6	'Yandex Music release ID'@en	0.06%
P1441	6	'present in work'@en	0.06%
P1407	6	'MusicBrainz series ID'@en	0.06%
P1243	6	'ISRC'@en	0.06%
P8524	5	'Offizielle Deutsche Charts song ID'@en	0.05%
P8106	5	'SOCAN work number'@en	0.05%
P7955	5	'Global Music Rights work ID'@en	0.05%
P767	5	'contributor to the creative work or subject'@en	0.05%
P7166	5	'Acharts.co song ID'@en	0.05%
P5251	5	'Corago opera ID'@en	0.05%
P5235	5	'Cité de la Musique-Philharmonie de Paris work ID'@en	0.05%
P4072	5	'Zemereshet song ID'@en	0.05%
P345	5	'IMDb ID'@en	0.05%
P3440	5	'time signature'@en	0.05%
P276	5	'location'@en	0.05%
P2561	5	'name'@en	0.05%
P2540	5	'Aarne–Thompson–Uther Tale Type Index'@en	0.05%
P2522	5	'victory'@en	0.05%
P2205	5	'Spotify album ID'@en	0.05%
P1953	5	'Discogs artist ID'@en	0.05%
P1877	5	'after a work by'@en	0.05%
P154	5	'logo image'@en	0.05%
P9290	4	'TikTok music ID'@en	0.04%
P8408	4	'KBpedia ID'@en	0.04%
P6706	4	'De Agostini ID'@en	0.04%
P6517	4	'WhoSampled artist ID'@en	0.04%
