id	node1	label	node2	node2;wikidatatype	node1;label	label;label	node2;label
Q127330-P10018-f074c2-f0e59a2f-0	Q127330	P10018	"106063"	external-id	'Frank Zappa'@en	'George Eastman Museum people ID'@en	
Q127330-P1005-bc8d9f-92595a92-0	Q127330	P1005	"51060"	external-id	'Frank Zappa'@en	'Portuguese National Library ID'@en	
Q127330-P1006-d6c013-bb300094-0	Q127330	P1006	"071765409"	external-id	'Frank Zappa'@en	'Nationale Thesaurus voor Auteurs ID'@en	
Q127330-P10069-3286a9-bde0648d-0	Q127330	P10069	"103895"	external-id	'Frank Zappa'@en	'Tabakalera ID'@en	
Q127330-P1015-0ea845-5357faf1-0	Q127330	P1015	"90785556"	external-id	'Frank Zappa'@en	'NORAF ID'@en	
Q127330-P102-Q29552-82f970f9-0	Q127330	P102	Q29552	wikibase-item	'Frank Zappa'@en	'member of political party'@en	'Democratic Party'@en
Q127330-P10242-a11209-a4b23930-0	Q127330	P10242	"06122/eu_z_0451/z0451"	external-id	'Frank Zappa'@en	'Lur Encyclopedic Dictionary ID'@en	
Q127330-P103-Q1860-9d05458a-0	Q127330	P103	Q1860	wikibase-item	'Frank Zappa'@en	'native language'@en	'English'@en
Q127330-P106-Q177220-b095d54e-0	Q127330	P106	Q177220	wikibase-item	'Frank Zappa'@en	'occupation'@en	'singer'@en
Q127330-P106-Q183945-21def910-0	Q127330	P106	Q183945	wikibase-item	'Frank Zappa'@en	'occupation'@en	'record producer'@en
Q127330-P106-Q1930187-51e214c3-0	Q127330	P106	Q1930187	wikibase-item	'Frank Zappa'@en	'occupation'@en	'journalist'@en
Q127330-P106-Q2405480-b06c6586-0	Q127330	P106	Q2405480	wikibase-item	'Frank Zappa'@en	'occupation'@en	'voice actor'@en
Q127330-P106-Q2526255-6c29ceb8-0	Q127330	P106	Q2526255	wikibase-item	'Frank Zappa'@en	'occupation'@en	'film director'@en
Q127330-P106-Q28389-faa41352-0	Q127330	P106	Q28389	wikibase-item	'Frank Zappa'@en	'occupation'@en	'screenwriter'@en
Q127330-P106-Q29017403-856a9860-0	Q127330	P106	Q29017403	wikibase-item	'Frank Zappa'@en	'occupation'@en	'rock musician'@en
Q127330-P106-Q3282637-0a4d1f7d-0	Q127330	P106	Q3282637	wikibase-item	'Frank Zappa'@en	'occupation'@en	'film producer'@en
Q127330-P106-Q33999-8102da46-0	Q127330	P106	Q33999	wikibase-item	'Frank Zappa'@en	'occupation'@en	'actor'@en
Q127330-P106-Q36834-be102344-0	Q127330	P106	Q36834	wikibase-item	'Frank Zappa'@en	'occupation'@en	'composer'@en
Q127330-P106-Q639669-5326bfc9-0	Q127330	P106	Q639669	wikibase-item	'Frank Zappa'@en	'occupation'@en	'musician'@en
Q127330-P106-Q67378332-c3947d18-0	Q127330	P106	Q67378332	wikibase-item	'Frank Zappa'@en	'occupation'@en	'rock guitarist'@en
Q127330-P106-Q753110-1303d259-0	Q127330	P106	Q753110	wikibase-item	'Frank Zappa'@en	'occupation'@en	'songwriter'@en
Q127330-P106-Q855091-c597db48-0	Q127330	P106	Q855091	wikibase-item	'Frank Zappa'@en	'occupation'@en	'guitarist'@en
Q127330-P1114-52f4cd-38e76940-0	Q127330	P1114	+624Q7366	quantity	'Frank Zappa'@en	'quantity'@en	
Q127330-P1114-b20c81-c45e0458-0	Q127330	P1114	+111Q61033232	quantity	'Frank Zappa'@en	'quantity'@en	
Q127330-P119-Q1358639-b7d4adfe-0	Q127330	P119	Q1358639	wikibase-item	'Frank Zappa'@en	'place of burial'@en	'Westwood Village Memorial Park Cemetery'@en
Q127330-P1196-Q3739104-6dabddca-0	Q127330	P1196	Q3739104	wikibase-item	'Frank Zappa'@en	'manner of death'@en	'natural causes'@en
Q127330-P1207-695993-8efd307d-0	Q127330	P1207	"n97011040"	external-id	'Frank Zappa'@en	'NUKAT ID'@en	
Q127330-P1233-0a24f3-19b4d64e-0	Q127330	P1233	"151065"	external-id	'Frank Zappa'@en	'Internet Speculative Fiction Database author ID'@en	
Q127330-P1263-d74f5d-97f65a20-0	Q127330	P1263	"737/000024665"	external-id	'Frank Zappa'@en	'NNDB people ID'@en	
Q127330-P1266-01bb46-bc179054-0	Q127330	P1266	"36094"	external-id	'Frank Zappa'@en	'AlloCiné person ID'@en	
Q127330-P1280-3de8e3-3ec17937-0	Q127330	P1280	"29422179"	external-id	'Frank Zappa'@en	'CONOR.SI ID'@en	
