domain	property	range	count
Q207694	P1004	external-id	8
Q1007870	P1004	external-id	1
Q108325	P1004	external-id	1
Q108860593	P1004	external-id	1
Q1329623	P1004	external-id	1
Q160742	P1004	external-id	1
Q16970	P1004	external-id	1
Q2190251	P1004	external-id	1
Q23413	P1004	external-id	1
Q24354	P1004	external-id	1
Q24699794	P1004	external-id	1
Q33506	P1004	external-id	1
Q44613	P1004	external-id	1
Q207694	P1005	external-id	5
Q108860593	P1005	external-id	1
Q22698	P1005	external-id	1
Q207694	P1015	external-id	19
Q24699794	P1015	external-id	2
Q1329623	P1015	external-id	1
Q1497375	P1015	external-id	1
Q1759852	P1015	external-id	1
Q1797122	P1015	external-id	1
Q2085381	P1015	external-id	1
Q22698	P1015	external-id	1
Q26944969	P1015	external-id	1
Q570116	P1015	external-id	1
Q61781831	P1015	external-id	1
Q207694	P1017	external-id	7
Q162875	P1017	external-id	1
Q570116	P1017	external-id	1
Q61781831	P1017	external-id	1
Q856234	P1017	external-id	1
Q207694	P1019	url	2
Q207694	P10217	external-id	3
Q24699794	P10217	external-id	1
Q207694	P10283	external-id	1
Q207694	P1036	external-id	1
Q618123	P1036	external-id	1
Q207694	P10377	external-id	2
Q383092	P10377	external-id	1
Q207694	P10378	external-id	2
Q383092	P10378	external-id	1
Q207694	P1059	external-id	3
Q163740	P1059	external-id	1
Q207694	P1101	quantity	6
Q24699794	P1101	quantity	2
Q33506	P1101	quantity	2
Q1043939	P1101	quantity	1
Q570116	P1101	quantity	1
Q811979	P1101	quantity	1
Q207694	P1128	quantity	3
Q708676	P1128	quantity	2
Q207694	P1139	quantity	1
Q33506	P1139	quantity	1
Q207694	P1149	external-id	4
Q2085381	P1149	external-id	1
Q24699794	P1149	external-id	1
Q618123	P1149	external-id	1
Q866133	P1149	external-id	1
Q207694	P1155	external-id	1
Q207694	P1174	quantity	21
Q108860593	P1174	quantity	1
Q163740	P1174	quantity	1
Q1759852	P1174	quantity	1
Q33506	P1174	quantity	1
Q35989030	P1174	quantity	1
Q7328910	P1174	quantity	1
Q207694	P1207	external-id	18
Q1759852	P1207	external-id	2
Q1329623	P1207	external-id	1
Q1497375	P1207	external-id	1
Q1797122	P1207	external-id	1
Q22698	P1207	external-id	1
Q24699794	P1207	external-id	1
Q26944969	P1207	external-id	1
Q3947	P1207	external-id	1
Q207694	P1216	external-id	6
Q2087181	P1216	external-id	2
Q1202402	P1216	external-id	1
Q1343246	P1216	external-id	1
Q1802963	P1216	external-id	1
Q207694	P1273	external-id	9
Q1329623	P1273	external-id	1
Q1497375	P1273	external-id	1
Q1497649	P1273	external-id	1
Q24699794	P1273	external-id	1
Q26944892	P1273	external-id	1
Q26944969	P1273	external-id	1
Q570116	P1273	external-id	1
Q61781831	P1273	external-id	1
Q207694	P1278	external-id	1
Q2085381	P1278	external-id	1
Q24699794	P1278	external-id	1
Q207694	P1280	external-id	1
Q207694	P1296	external-id	3
Q108860593	P1296	external-id	1
Q4989906	P1296	external-id	1
Q207694	P1297	external-id	22
Q163740	P1297	external-id	3
Q1759852	P1297	external-id	2
Q108860593	P1297	external-id	1
Q18325436	P1297	external-id	1
