domain	property	range	count
Q134556	P10	commonsMedia	1
Q7366	P10	commonsMedia	1
Q134556	P1004	external-id	1
Q134556	P10110	external-id	1
Q134556	P10136	external-id	1
Q7366	P10136	external-id	1
Q134556	P10291	external-id	2
Q7366	P10291	external-id	1
Q134556	P1104	quantity	2
Q1366112	P1104	quantity	1
Q7366	P1104	quantity	1
Q134556	P1236	external-id	27
Q7366	P1236	external-id	9
Q134556	P1243	external-id	25
Q7302866	P1243	external-id	18
Q7366	P1243	external-id	10
Q2188189	P1243	external-id	1
Q134556	P1259	globe-coordinate	4
Q134556	P1292	external-id	4
Q7366	P1292	external-id	4
Q134556	P1316	external-id	1
Q7366	P1316	external-id	1
Q134556	P1352	quantity	1
Q55850593	P1352	quantity	1
Q134556	P1407	external-id	2
Q134556	P1417	external-id	111
Q7366	P1417	external-id	41
Q105543609	P1417	external-id	3
Q1193470	P1417	external-id	1
Q7302866	P1417	external-id	1
Q134556	P1476	monolingualtext	971
Q7366	P1476	monolingualtext	351
Q7302866	P1476	monolingualtext	17
Q482994	P1476	monolingualtext	7
Q105543609	P1476	monolingualtext	6
Q169930	P1476	monolingualtext	3
Q207628	P1476	monolingualtext	2
Q1030329	P1476	monolingualtext	1
Q1193470	P1476	monolingualtext	1
Q16909656	P1476	monolingualtext	1
Q2470219	P1476	monolingualtext	1
Q56599584	P1476	monolingualtext	1
Q59847891	P1476	monolingualtext	1
Q7725634	P1476	monolingualtext	1
Q873000	P1476	monolingualtext	1
Q134556	P154	commonsMedia	64
Q7366	P154	commonsMedia	32
Q134556	P1651	external-id	5833
Q7366	P1651	external-id	956
Q7302866	P1651	external-id	20
Q105543609	P1651	external-id	11
Q482994	P1651	external-id	6
Q169930	P1651	external-id	4
Q1030329	P1651	external-id	2
Q1193470	P1651	external-id	2
Q207628	P1651	external-id	2
Q2188189	P1651	external-id	2
Q55850593	P1651	external-id	2
Q63412991	P1651	external-id	2
Q1366112	P1651	external-id	1
Q16909656	P1651	external-id	1
Q17009617	P1651	external-id	1
Q193977	P1651	external-id	1
Q24255514	P1651	external-id	1
Q2470219	P1651	external-id	1
Q56599584	P1651	external-id	1
Q59847891	P1651	external-id	1
Q748289	P1651	external-id	1
Q7725634	P1651	external-id	1
Q134556	P1680	monolingualtext	4
Q7366	P1680	monolingualtext	2
Q134556	P1705	monolingualtext	2
Q7366	P1705	monolingualtext	1
Q134556	P1712	external-id	2
Q482994	P1712	external-id	1
Q134556	P1725	quantity	122
Q7366	P1725	quantity	69
Q134556	P1729	external-id	348
Q7366	P1729	external-id	39
Q482994	P1729	external-id	5
Q169930	P1729	external-id	2
Q24255514	P1729	external-id	1
Q7302866	P1729	external-id	1
Q134556	P1730	external-id	331
Q7366	P1730	external-id	123
Q7302866	P1730	external-id	2
Q169930	P1730	external-id	1
Q207628	P1730	external-id	1
Q134556	P18	commonsMedia	114
Q7366	P18	commonsMedia	42
Q1030329	P18	commonsMedia	1
