property	count	property;label	percentage
P646	562	'Freebase ID'@en	99.65%
P571	560	'inception'@en	99.29%
P170	553	'creator'@en	98.05%
P195	486	'collection'@en	86.17%
P276	484	'location'@en	85.82%
P186	470	'made from material'@en	83.33%
P2048	439	'height'@en	77.84%
P2049	437	'width'@en	77.48%
P18	416	'image'@en	73.76%
P6216	410	'copyright status'@en	72.7%
P217	396	'inventory number'@en	70.21%
P136	389	'genre'@en	68.97%
P180	371	'depicts'@en	65.78%
P973	295	'described at URL'@en	52.3%
P1476	263	'title'@en	46.63%
P135	237	'movement'@en	42.02%
P373	230	'Commons category'@en	40.78%
P2581	226	'BabelNet ID'@en	40.07%
P528	172	'catalog code'@en	30.5%
P495	145	'country of origin'@en	25.71%
P921	110	'main subject'@en	19.5%
P4701	97	'Google Arts & Culture asset ID'@en	17.2%
P127	91	'owned by'@en	16.13%
