property	count	property;label
P577	20860	'publication date'@en
P175	20811	'performer'@en
P646	20191	'Freebase ID'@en
P264	19198	'record label'@en
P136	19088	'genre'@en
P361	17777	'part of'@en
P156	15597	'followed by'@en
P155	15058	'follows'@en
P2624	8851	'MetroLyrics ID'@en
P495	8217	'country of origin'@en
P436	7949	'MusicBrainz release group ID'@en
P1954	7844	'Discogs master ID'@en
P1651	5835	'YouTube video ID'@en
P435	5545	'MusicBrainz work ID'@en
P162	5076	'producer'@en
