property	count	property;label
P577	20860	'publication date'@en
P175	20811	'performer'@en
P646	20191	'Freebase ID'@en
P264	19198	'record label'@en
P136	19088	'genre'@en
P361	17777	'part of'@en
P156	15597	'followed by'@en
P155	15058	'follows'@en
P2624	8851	'MetroLyrics ID'@en
P495	8217	'country of origin'@en
P436	7949	'MusicBrainz release group ID'@en
P1954	7844	'Discogs master ID'@en
P1651	5835	'YouTube video ID'@en
P435	5545	'MusicBrainz work ID'@en
P162	5076	'producer'@en
P676	2995	'lyrics by'@en
P437	1971	'distribution format'@en
P407	1696	'language of work or name'@en
P86	1602	'composer'@en
P2581	1563	'BabelNet ID'@en
P1552	1426	'has quality'@en
P1476	973	'title'@en
P8856	956	'British Phonographic Industry ID'@en
P9182	694	'uta-net.com song ID'@en
P1889	591	'different from'@en
P7937	374	'form of creative work'@en
P1729	348	'AllMusic album ID'@en
P1730	331	'AllMusic song ID'@en
P2047	326	'duration'@en
P1827	312	'ISWC'@en
P2671	283	'Google Knowledge Graph ID'@en
P3417	261	'Quora topic ID'@en
P6218	254	'Genius song ID'@en
P856	205	'official website'@en
P2206	204	'Discogs release ID'@en
P571	202	'inception'@en
P2207	190	'Spotify track ID'@en
P658	158	'tracklist'@en
P826	149	'tonality'@en
P3192	139	'Last.fm ID'@en
P7212	131	'LyricsTranslate ID'@en
P2724	129	'Deezer track ID'@en
P1725	122	'beats per minute'@en
P291	118	'place of publication'@en
P166	116	'award received'@en
P1411	116	'nominated for'@en
P18	114	'image'@en
P1417	111	'Encyclopædia Britannica Online ID'@en
P8392	101	'Rate Your Music release ID'@en
P5915	93	'Shazam track ID'@en
P17	89	'country'@en
P3040	83	'SoundCloud ID'@en
P5241	81	'Songfacts song ID'@en
P5197	77	'Melon song ID'@en
P7067	64	'Album of the Year album ID'@en
P154	64	'logo image'@en
P483	63	'recorded at studio or venue'@en
P9089	62	'Songlexikon ID'@en
P9133	58	'AZLyrics.com song ID'@en
P921	51	'main subject'@en
P2205	47	'Spotify album ID'@en
P50	41	'author'@en
P9290	40	'TikTok music ID'@en
P7166	40	'Acharts.co song ID'@en
P641	36	'sport'@en
P138	36	'named after'@en
P2908	35	'SecondHandSongs work ID'@en
P2291	33	'charted in'@en
P1343	31	'described by source'@en
P6760	30	'Know Your Meme ID'@en
P4969	30	'derivative work'@en
P6262	27	'Fandom article ID'@en
P1236	27	'Parsons code'@en
P1433	26	'published in'@en
P1243	25	'ISRC'@en
P2635	24	'number of parts of this work'@en
P750	23	'distributed by'@en
P345	23	'IMDb ID'@en
P4839	22	'Wolfram Language entity code'@en
P2281	21	'Apple Music album ID (U.S. version)'@en
