class	count	class;label	percentage
Q5	7622	'human'@en	28.89%
Q3947	2333	'house'@en	8.84%
Q41176	1617	'building'@en	6.13%
Q23413	1043	'castle'@en	3.95%
Q33506	636	'museum'@en	2.41%
Q11303	601	'skyscraper'@en	2.28%
Q1343246	596	'English country house'@en	2.26%
Q3305213	564	'painting'@en	2.14%
Q1307276	459	'single-family detached home'@en	1.74%
Q27686	427	'hotel'@en	1.62%
Q207694	413	'art museum'@en	1.57%
