class	count	class;label	percentage
Q1210334	2	'railway bridge'@en	0.01%
Q12063697	2	'neighborhood of Washington, D.C.'@en	0.01%
Q11900212	2	'photography centre'@en	0.01%
Q11688446	2	'Roman deity'@en	0.01%
Q11670533	2	'elevated station'@en	0.01%
Q1154710	2	'association football venue'@en	0.01%
Q1151612	2	'Taoist temple'@en	0.01%
Q11486287	2	'former Buddhist temple'@en	0.01%
Q1145397	2	'ship burial'@en	0.01%
Q1139659	2	'crescent'@en	0.01%
Q1128340	2	'index term'@en	0.01%
Q11183017	2	'open-air theatre'@en	0.01%
Q1114461	2	'comics character'@en	0.01%
Q1110684	2	'regulatory college'@en	0.01%
Q11032	2	'newspaper'@en	0.01%
Q1093436	2	'computer museum'@en	0.01%
Q108171565	2	'navigational star'@en	0.01%
Q1080794	2	'state school'@en	0.01%
Q107096063	2	'Landmark tower'@en	0.01%
Q1068842	2	'footbridge'@en	0.01%
Q1066288	2	'figurine'@en	0.01%
Q1062083	2	'billionaire'@en	0.01%
Q105957950	2	'LORAN-C Transmitter'@en	0.01%
Q105756498	2	'type of musical ensemble/group'@en	0.01%
Q105731	2	'lock'@en	0.01%
Q1051606	2	'Daibutsu'@en	0.01%
Q104649845	2	'film organization'@en	0.01%
Q1021711	2	'seaside resort'@en	0.01%
Q101687	2	'altar'@en	0.01%
Q99541706	1	'historical unrecognized state'@en	0.0%
Q995268	1	'F type'@en	0.0%
Q98966309	1	'classification of human settlements'@en	0.0%
Q988108	1	'club'@en	0.0%
Q987767	1	'container'@en	0.0%
Q98399252	1	'Geographical indications in India'@en	0.0%
Q979507	1	'Hindu deity'@en	0.0%
Q97945992	1	'Fresce paintings'@en	0.0%
Q973861	1	'factorial prime'@en	0.0%
Q969040	1	'creative industries'@en	0.0%
Q96378286	1	'demolished synagogue'@en	0.0%
Q96371629	1	'secularized monastery'@en	0.0%
Q96352510	1	'destroyed religious building'@en	0.0%
Q962734	1	'migration museum'@en	0.0%
Q96251598	1	'type of object'@en	0.0%
Q96211395	1	'heritage site in Sweden'@en	0.0%
Q961867	1	'nef'@en	0.0%
Q95993050	1	'first order'@en	0.0%
Q95984744	1	'Veterans Administration hospital'@en	0.0%
Q955824	1	'learned society'@en	0.0%
Q95463156	1	'Ancient Roman dam'@en	0.0%
Q954501	1	'natural arch'@en	0.0%
Q952885	1	'orangery'@en	0.0%
Q95074	1	'fictional character'@en	0.0%
Q94701721	1	'Tuscan museum of regional importance'@en	0.0%
Q939871	1	'guild'@en	0.0%
Q9398093	1	'vowel letter'@en	0.0%
Q9386255	1	'production facility'@en	0.0%
Q937228	1	'property'@en	0.0%
Q936821	1	'travelling exhibition'@en	0.0%
Q936518	1	'aerospace manufacturer'@en	0.0%
Q935773	1	'cromlech'@en	0.0%
Q934744	1	'political scandal'@en	0.0%
Q9346860	1	'geological structure'@en	0.0%
Q93429857	1	'ancient Roman cistern'@en	0.0%
Q93288	1	'contract'@en	0.0%
Q930314	1	'vernacular architecture'@en	0.0%
Q922203	1	'code of law'@en	0.0%
Q918088	1	'paper mill'@en	0.0%
Q916412	1	'infanticide'@en	0.0%
Q9128	1	'light'@en	0.0%
Q91203	1	'sconce'@en	0.0%
Q911663	1	'bascule bridge'@en	0.0%
Q909906	1	'skatepark'@en	0.0%
Q90685	1	'palisade'@en	0.0%
Q904756	1	'religious conversion'@en	0.0%
Q903495	1	'residue'@en	0.0%
Q899959	1	'cliff-dwelling'@en	0.0%
Q898675	1	'Eisenstein prime'@en	0.0%
Q893775	1	'National Monument of the United States'@en	0.0%
Q8928	1	'constellation'@en	0.0%
Q884742	1	'log house'@en	0.0%
Q88372	1	'esplanade'@en	0.0%
Q878223	1	'highland'@en	0.0%
Q877998	1	'students\' union'@en	0.0%
Q8776398	1	'collective population entity of Spain'@en	0.0%
Q875538	1	'public university'@en	0.0%
Q87410915	1	'administrative quarter of Marseille'@en	0.0%
Q87267402	1	'trailside museum'@en	0.0%
Q871419	1	'district of Austria'@en	0.0%
Q868557	1	'music festival'@en	0.0%
Q863454	1	'pier'@en	0.0%
Q862597	1	'musical form'@en	0.0%
Q861809	1	'bilingual inscription'@en	0.0%
Q858157	1	'German folklore'@en	0.0%
Q85635929	1	'urban district of Lower Saxony'@en	0.0%
Q85632032	1	'urban district of Rhineland-Palatinate'@en	0.0%
Q853252	1	'Mining town'@en	0.0%
Q852590	1	'spire'@en	0.0%
Q848330	1	'tondo'@en	0.0%
Q846659	1	'Jewish cemetery'@en	0.0%
Q8458	1	'human rights'@en	0.0%
Q841654	1	'competition'@en	0.0%
Q838795	1	'comic strip'@en	0.0%
Q838718	1	'city fire'@en	0.0%
Q837995	1	'rood screen'@en	0.0%
Q837249	1	'marble sculpture'@en	0.0%
Q837142	1	'nursing home'@en	0.0%
Q836976	1	'Delta Scuti variable'@en	0.0%
Q836950	1	'derivative work'@en	0.0%
Q836708	1	'star polygon'@en	0.0%
Q8362	1	'miniature'@en	0.0%
Q8346700	1	'cultural heritage site in Russia'@en	0.0%
Q83464	1	'euphemism'@en	0.0%
Q833823	1	'beaker'@en	0.0%
Q832266	1	'intarsia'@en	0.0%
Q831869	1	'oenochoe'@en	0.0%
Q829080	1	'professional association'@en	0.0%
Q828909	1	'wharf'@en	0.0%
Q82821	1	'tradition'@en	0.0%
Q825237	1	'safety instrumented system'@en	0.0%
Q821435	1	'borough of Berlin'@en	0.0%
Q820254	1	'mining community'@en	0.0%
Q81945865	1	'multi-unit audio release format'@en	0.0%
Q8187769	1	'economic activity'@en	0.0%
Q81851	1	'bastion'@en	0.0%
Q8171	1	'word'@en	0.0%
Q81670826	1	'basketball venue'@en	0.0%
Q816063	1	'Bell number'@en	0.0%
Q815448	1	'belfry'@en	0.0%
Q815241	1	'runestone'@en	0.0%
Q814648	1	'parish of Denmark'@en	0.0%
Q8142	1	'currency'@en	0.0%
Q811936	1	'building method'@en	0.0%
Q811909	1	'technological component'@en	0.0%
Q811463	1	'human-made geographic feature'@en	0.0%
Q8104	1	'atmosphere'@en	0.0%
Q807293	1	'Baray'@en	0.0%
Q80359036	1	'alcohol brand'@en	0.0%
Q80096233	1	'information list'@en	0.0%
Q79913	1	'non-governmental organization'@en	0.0%
Q7963015	1	'walled garden'@en	0.0%
Q79141101	1	'set of wall hangings'@en	0.0%
Q7886778	1	'union station'@en	0.0%
Q7881	1	'skeleton'@en	0.0%
Q787116	1	'automaton'@en	0.0%
Q785260	1	'phase of human life'@en	0.0%
Q784969	1	'architectural typology'@en	0.0%
Q7845721	1	'Trophy property'@en	0.0%
Q782970	1	'Domus'@en	0.0%
Q781549	1	'megachurch'@en	0.0%
Q778575	1	'conglomerate'@en	0.0%
Q775842	1	'desire'@en	0.0%
Q7755	1	'constitution'@en	0.0%
Q7725310	1	'series of creative works'@en	0.0%
Q7694920	1	'tehsil of India'@en	0.0%
Q766983	1	'clay pot'@en	0.0%
Q762882	1	'subregion of Finland'@en	0.0%
Q7627808	1	'student center'@en	0.0%
Q758870	1	'digital audio editor'@en	0.0%
Q757292	1	'border checkpoint'@en	0.0%
Q755707	1	'municipality of Norway'@en	0.0%
Q7540126	1	'headquarters'@en	0.0%
Q751989	1	'astronomical phenomenon'@en	0.0%
Q75093704	1	'station of the Tōkaidō'@en	0.0%
Q75054287	1	'music by country or region'@en	0.0%
Q750215	1	'mass murder'@en	0.0%
Q7493941	1	'shelter'@en	0.0%
Q748198	1	'gay village'@en	0.0%
Q748019	1	'scientific society'@en	0.0%
Q745456	1	'business cluster'@en	0.0%
Q744913	1	'aviation accident'@en	0.0%
Q744296	1	'wooden church'@en	0.0%
Q742421	1	'theatrical troupe'@en	0.0%
Q740464	1	'legal act'@en	0.0%
Q740437	1	'picture gallery'@en	0.0%
Q7368619	1	'Rosenwald School'@en	0.0%
Q7361876	1	'Roman Catholic dogma'@en	0.0%
Q732717	1	'law enforcement agency'@en	0.0%
Q7321974	1	'cairn'@en	0.0%
Q7317885	1	'revenants in fiction'@en	0.0%
Q7315155	1	'research center'@en	0.0%
Q7308408	1	'regimental museum'@en	0.0%
Q728	1	'weapon'@en	0.0%
Q727407	1	'trump'@en	0.0%
Q7270	1	'republic'@en	0.0%
Q726870	1	'brick and mortar'@en	0.0%
Q7247618	1	'prodigy house'@en	0.0%
Q7246209	1	'private housing estate in Hong Kong'@en	0.0%
Q7216840	1	'urban-type settlement in Ukraine'@en	0.0%
Q719592	1	'local council of Malta'@en	0.0%
Q7189713	1	'physiological condition'@en	0.0%
Q7160100	1	'pedway'@en	0.0%
Q713623	1	'clade'@en	0.0%
Q713223	1	'artist-in-residence'@en	0.0%
Q7112451	1	'outline of Singapore'@en	0.0%
Q703941	1	'private road'@en	0.0%
Q699405	1	'residence'@en	0.0%
Q699	1	'fairy tale'@en	0.0%
Q6973044	1	'National Heritage Area'@en	0.0%
Q697196	1	'ocean liner'@en	0.0%
Q695850	1	'airbase'@en	0.0%
Q6936301	1	'municipal authority in Pennsylvania'@en	0.0%
Q690851	1	'Gospel Book'@en	0.0%
Q6882870	1	'designated spa town'@en	0.0%
Q685935	1	'trade magazine'@en	0.0%
Q6857706	1	'military profession'@en	0.0%
Q685621	1	'fideicommissum'@en	0.0%
Q685309	1	'former municipality of Switzerland'@en	0.0%
Q6852233	1	'military building'@en	0.0%
Q683992	1	'military prison'@en	0.0%
Q682943	1	'cricket field'@en	0.0%
Q678146	1	'bombardment'@en	0.0%
Q676050	1	'old town'@en	0.0%
Q675824	1	'cinerarium'@en	0.0%
Q673767	1	'art competitions at the Olympic Games'@en	0.0%
Q672603	1	'studiolo'@en	0.0%
Q672070	1	'photographic studio'@en	0.0%
Q67206691	1	'infrared source'@en	0.0%
Q67200784	1	'form of Parvati'@en	0.0%
Q671735	1	'media library'@en	0.0%
Q67165238	1	'noncommercial art gallery'@en	0.0%
Q668349	1	'kylix'@en	0.0%
Q66762677	1	'political term'@en	0.0%
Q666586	1	'macellum'@en	0.0%
Q66480858	1	'affixed family name'@en	0.0%
Q66472631	1	'nautical term'@en	0.0%
Q6646177	1	'listed buildings in Northern Ireland'@en	0.0%
Q66344	1	'central bank'@en	0.0%
Q66310866	1	'museum village'@en	0.0%
Q6630149	1	'narrative form'@en	0.0%
Q662656	1	'pole star'@en	0.0%
Q6623303	1	'list of historic houses in the Republic of Ireland'@en	0.0%
Q661199	1	'dining room'@en	0.0%
Q66088259	1	'ceramic techniques'@en	0.0%
Q66010132	1	'month starting on Wednesday'@en	0.0%
Q6581615	1	'thermae'@en	0.0%
Q65611482	1	'fossil museum'@en	0.0%
Q6532502	1	'public housing'@en	0.0%
Q653208	1	'monolith'@en	0.0%
Q6503358	1	'law library'@en	0.0%
Q65032826	1	'folkeskole'@en	0.0%
Q6501447	1	'local government'@en	0.0%
Q65007262	1	'petroglyphic site'@en	0.0%
Q6498663	1	'fire department'@en	0.0%
Q6489113	1	'large burgh'@en	0.0%
Q6484056	1	'land development'@en	0.0%
Q64801076	1	'education in country or region'@en	0.0%
Q64732764	1	'cave church'@en	0.0%
Q646683	1	'music sequencer'@en	0.0%
Q6455119	1	'kōgoishi'@en	0.0%
Q6453233	1	'duplex'@en	0.0%
Q6451172	1	'morgue'@en	0.0%
Q64506407	1	'skilled trade'@en	0.0%
Q6428674	1	'era'@en	0.0%
Q64222339	1	'art term'@en	0.0%
Q641066	1	'girl group'@en	0.0%
Q639030	1	'people mover'@en	0.0%
Q63869263	1	'bakery chain'@en	0.0%
Q635719	1	'archive building'@en	0.0%
Q63539947	1	'artistic concept'@en	0.0%
Q63390901	1		0.0%
Q63372996	1	'bicentennial'@en	0.0%
Q63187384	1	'Jewish religious occupation'@en	0.0%
Q63187345	1	'religious occupation'@en	0.0%
Q63161001	1	'entomological museum'@en	0.0%
Q63143903	1	'episode in Greek mythology'@en	0.0%
Q628455	1	'rite'@en	0.0%
Q624240	1	'Arabic name'@en	0.0%
Q624025	1	'Sophie Germain prime'@en	0.0%
Q622425	1	'nightclub'@en	0.0%
Q62098611	1	'museum of decorative arts'@en	0.0%
Q620749	1	'dogma'@en	0.0%
Q619610	1	'social state'@en	0.0%
Q61960059	1	'vegetarian restaurant'@en	0.0%
Q619300	1	'Hamadryad'@en	0.0%
Q61881926	1	'German noble family'@en	0.0%
Q61788060	1	'human activity'@en	0.0%
Q61781831	1	'curatorial department'@en	0.0%
Q61760621	1	'group of monuments'@en	0.0%
Q615699	1	'Internet encyclopedia'@en	0.0%
Q6149036	1	'decoration'@en	0.0%
Q614316	1	'private museum'@en	0.0%
Q614305	1	'Courts of England and Wales'@en	0.0%
Q61220733	1	'Star Trek episode'@en	0.0%
Q6110453	1	'Jacal'@en	0.0%
Q61089180	1	'part of municipality in the Czech Republic'@en	0.0%
Q61002	1	'pseudonym'@en	0.0%
Q60539479	1	'positive emotion'@en	0.0%
Q60227	1	'sin'@en	0.0%
Q599093	1	'Perrin number'@en	0.0%
Q59861107	1	'temporary art exhibition'@en	0.0%
Q59622687	1	'museums in India'@en	0.0%
Q59294700	1	'record group'@en	0.0%
Q58927801	1	'ethical theory'@en	0.0%
Q58901470	1	'historical article'@en	0.0%
Q5888666	1	'home rule municipality of Pennsylvania'@en	0.0%
Q5844636	1	'model farm'@en	0.0%
Q58339717	1	'city of India'@en	0.0%
Q581830	1	'carfree city'@en	0.0%
Q581776	1	'boulder'@en	0.0%
Q580499	1	'oratory'@en	0.0%
Q578521	1	'borough of Montreal'@en	0.0%
Q577	1	'year'@en	0.0%
Q5767753	1	'style'@en	0.0%
Q576639	1	'essentially contested concept'@en	0.0%
Q573607	1	'revenue service'@en	0.0%
Q572916	1	'found object'@en	0.0%
Q56822897	1	'mill building'@en	0.0%
Q567303	1	'announcement'@en	0.0%
Q56627913	1	'ceremonial object'@en	0.0%
Q5647631	1	'handscroll'@en	0.0%
Q5639512	1	'hair museum'@en	0.0%
Q56242250	1	'Anglican or episcopal cathedral'@en	0.0%
Q56242235	1	'Lutheran cathedral'@en	0.0%
Q56242225	1	'Eastern Orthodox cathedral'@en	0.0%
Q56228301	1	'surname prefixed with Ó or O'@en	0.0%
Q5608878	1	'dry stone'@en	0.0%
Q56055236	1	'photographic print'@en	0.0%
Q56053097	1	'HTML4 named color'@en	0.0%
Q560311	1	'literary technique'@en	0.0%
Q56019	1	'military rank'@en	0.0%
Q55979391	1	'ethical concept'@en	0.0%
Q558330	1	'municipality of Cuba'@en	0.0%
Q557141	1	'public art'@en	0.0%
Q55485	1	'dead-end station'@en	0.0%
Q55454947	1	'subcommittee of a technical committee'@en	0.0%
Q55118208	1	'internment Camp for Romani people'@en	0.0%
Q55102916	1	'parish of Asturias'@en	0.0%
Q55097243	1	'defunct organization'@en	0.0%
Q5504247	1	'Quaker meeting house'@en	0.0%
Q5500295	1	'free school'@en	0.0%
Q54872349	1	'military fair'@en	0.0%
Q5474524	1	'foundation school'@en	0.0%
Q5473425	1	'anthropology museum'@en	0.0%
Q5465500	1	'food museum'@en	0.0%
Q54230	1	'Nereids'@en	0.0%
Q542261	1	'Mughal architecture'@en	0.0%
Q5383482	1	'episcopal palace'@en	0.0%
Q5367899	1	'transmitter station'@en	0.0%
Q53541099	1	'royal villa'@en	0.0%
Q5326897	1	'early skyscraper'@en	0.0%
Q5307555	1	'drill hall'@en	0.0%
Q5302681	1	'dower house'@en	0.0%
Q5275	1	'astronomical clock'@en	0.0%
Q52721923	1	'high-voltage overhead power line'@en	0.0%
Q5255892	1	'democratic republic'@en	0.0%
Q52177058	1	'civic building'@en	0.0%
Q5193405	1	'cultural rights'@en	0.0%
Q51929311	1	'largest city'@en	0.0%
Q5191724	1	'steeple'@en	0.0%
Q5172452	1	'corporate crime'@en	0.0%
Q51631	1	'miracles of Jesus'@en	0.0%
Q5149695	1	'Columbia Global Centers'@en	0.0%
Q5124370	1	'civic society'@en	0.0%
Q512187	1	'federal republic'@en	0.0%
Q511056	1	'solar deity'@en	0.0%
Q5107	1	'continent'@en	0.0%
Q5078274	1	'sketch'@en	0.0%
Q507619	1	'retail chain'@en	0.0%
Q50707	1	'composite number'@en	0.0%
Q5069563	1	'chambered long barrow'@en	0.0%
Q50068795	1	'historical Chinese state'@en	0.0%
Q50053	1	'binary star'@en	0.0%
Q5004679	1	'path'@en	0.0%
Q4998629	1	'burgh of barony'@en	0.0%
Q49956097	1	'paleolithic site'@en	0.0%
Q49848	1	'document'@en	0.0%
Q49836	1	'wedding'@en	0.0%
Q49773	1	'social movement'@en	0.0%
Q494978	1	'special economic zone'@en	0.0%
Q494823	1	'data format'@en	0.0%
Q494721	1	'city of Japan'@en	0.0%
Q49447	1	'world view'@en	0.0%
Q494311	1	'Low German house'@en	0.0%
Q49377	1	'Oriental Orthodox Churches'@en	0.0%
Q4936952	1	'anatomical structure'@en	0.0%
Q493694	1	'tide mill'@en	0.0%
Q4936202	1	'Boccia classification'@en	0.0%
Q493522	1	'municipality of Belgium'@en	0.0%
Q4922985	1	'treasure trove'@en	0.0%
Q492255	1	'tetrapylon'@en	0.0%
Q4919932	1	'stately home'@en	0.0%
Q490329	1	'dong of South Korea'@en	0.0%
Q49008	1	'prime number'@en	0.0%
Q4886	1	'cultivar'@en	0.0%
Q48812846	1	'airport for antique aircraft'@en	0.0%
Q486245	1	'National Treasures of South Korea'@en	0.0%
Q483247	1	'phenomenon'@en	0.0%
Q483242	1	'laboratory'@en	0.0%
Q4824242	1	'Australian High Commission'@en	0.0%
Q4823517	1	'big thing in Australia'@en	0.0%
Q482	1	'poetry'@en	0.0%
Q4818719	1	'attributes of God in Christianity'@en	0.0%
Q4808723	1	'assembly room'@en	0.0%
Q48075064	1	'sea god'@en	0.0%
Q480260	1	'local coat of arms'@en	0.0%
Q4801521	1	'arts festival'@en	0.0%
Q4796697	1	'art bank'@en	0.0%
Q47883	1	'playing card'@en	0.0%
Q47848	1	'sacred architecture'@en	0.0%
Q47692	1	'Chinese garden'@en	0.0%
Q476028	1	'association football club'@en	0.0%
Q475476	1	'diptych'@en	0.0%
Q47530379	1	'agricultural college'@en	0.0%
Q47528	1	'radar'@en	0.0%
Q47509284	1	'assembly plant'@en	0.0%
Q475018	1	'living room'@en	0.0%
Q47371099	1	'non-positive integer'@en	0.0%
Q47163308	1	'ambassador\'s residence'@en	0.0%
Q47018901	1	'calendar month'@en	0.0%
Q47018478	1	'calendar month of a given year'@en	0.0%
Q46970	1	'airline'@en	0.0%
Q4688003	1	'aerial bombing of a city'@en	0.0%
Q4677783	1	'Act of the Parliament of the United Kingdom'@en	0.0%
Q466449	1	'ashram'@en	0.0%
Q464780	1	'mint'@en	0.0%
Q4632675	1	'dwelling place'@en	0.0%
Q4618	1	'carnival'@en	0.0%
Q46169	1	'national park'@en	0.0%
Q46124	1	'sanatorium'@en	0.0%
Q456627	1	'Sacramentals'@en	0.0%
Q4539	1	'cooperative'@en	0.0%
Q45107780	1	'silent film series'@en	0.0%
Q4502129	1	'Russian folk art'@en	0.0%
Q4498974	1	'ice hockey team'@en	0.0%
Q448998	1	'wedge tomb'@en	0.0%
Q448801	1	'big district town'@en	0.0%
Q44844	1	'Bismarck tower'@en	0.0%
Q448190	1	'cage cup'@en	0.0%
Q445396	1	'print room'@en	0.0%
Q44476427	1	'medical attribute'@en	0.0%
Q4438121	1	'sports organization'@en	0.0%
Q4430243	1	'social organization'@en	0.0%
Q43791339	1	'political party in Bulgaria'@en	0.0%
Q4375074	1	'calendar era'@en	0.0%
Q43702	1	'federation'@en	0.0%
Q4367464	1	'preparatory school'@en	0.0%
Q436435	1	'Rail transport modelling scales'@en	0.0%
Q43501	1	'zoo'@en	0.0%
Q4349921	1	'first human'@en	0.0%
Q43412	1	'Apostle'@en	0.0%
Q43116871	1	'plant-derived motif'@en	0.0%
Q4306036	1	'museum-reserve'@en	0.0%
Q4306024	1	'Holocaust museum'@en	0.0%
Q43060	1	'online music store'@en	0.0%
Q4298922	1	'mixed-use development'@en	0.0%
Q429785	1	'poster'@en	0.0%
Q42961155	1	'quarter of Milan'@en	0.0%
Q42929138	1	'Tramlink stop'@en	0.0%
Q4287745	1	'medical organization'@en	0.0%
Q428661	1	'U-boat'@en	0.0%
Q42855995	1	'fabricator'@en	0.0%
Q42723927	1	'bydel'@en	0.0%
Q4271324	1	'mythical character'@en	0.0%
Q4263830	1	'literary form'@en	0.0%
Q4260475	1	'medical facility'@en	0.0%
Q4240267	1	'palace theatre'@en	0.0%
Q4224624	1	'kmetstvo of Bulgaria'@en	0.0%
Q42177	1	'bed'@en	0.0%
Q420962	1	'heritage railway'@en	0.0%
Q4209223	1	'Rechtsstaat'@en	0.0%
Q420545	1	'Novotel'@en	0.0%
Q4171445	1	'landed gentry'@en	0.0%
Q4159443	1	'сhildren\'s art school'@en	0.0%
Q415917	1	'riding arena'@en	0.0%
Q4156067	1	'palace complex'@en	0.0%
Q4140840	1	'lost artwork'@en	0.0%
Q41362222	1	'type of map'@en	0.0%
Q4067618	1	'anthropogony'@en	0.0%
Q4057659	1	'subdivision of Kyiv'@en	0.0%
Q40347546	1	'gas streetlight'@en	0.0%
Q40244	1	'marathon'@en	0.0%
Q4	1	'death'@en	0.0%
Q399811	1	'Japanese television drama'@en	0.0%
Q39919471	1	'former warehouse'@en	0.0%
Q3958441	1	'economic sector'@en	0.0%
Q39546	1	'tool'@en	0.0%
Q395295	1	'agony'@en	0.0%
Q39518369	1	'castle museum'@en	0.0%
Q3918368	1	'agricultural show'@en	0.0%
Q39026077	1	'zombie in a work of fiction'@en	0.0%
Q3901935	1	'inferior planet'@en	0.0%
Q389581	1	'triennale'@en	0.0%
Q38723	1	'higher education institution'@en	0.0%
Q385378	1	'construction'@en	0.0%
Q3822604	1	'roman mausoleum'@en	0.0%
Q38048707	1	'historical cultural heritage site'@en	0.0%
Q3802482	1	'stins'@en	0.0%
Q37996118	1	'Washington state park'@en	0.0%
Q37947493	1	'Arkansas state park'@en	0.0%
Q375011	1	'religious festival'@en	0.0%
Q371752	1	'calvary'@en	0.0%
Q371174	1	'gesture'@en	0.0%
Q3707571	1	'giant'@en	0.0%
Q370665	1	'sacra conversazione'@en	0.0%
Q3705105	1	'Chinese martial arts'@en	0.0%
Q3694	1	'vacation property'@en	0.0%
Q3681673	1	'private club'@en	0.0%
Q3678596	1	'Ancient City of Damascus'@en	0.0%
Q3678424	1	'city with special status'@en	0.0%
Q367293	1	'convention'@en	0.0%
Q3657724	1	'private chapel'@en	0.0%
Q3649129	1	'cabin'@en	0.0%
Q361665	1	'summit cross'@en	0.0%
Q361132	1	'roofing'@en	0.0%
Q359414	1	'open-air concert'@en	0.0%
Q35872	1	'boat'@en	0.0%
Q358316	1	'chamber tomb'@en	0.0%
Q3579101	1	'edifice'@en	0.0%
Q3559093	1	'sanctuary city'@en	0.0%
Q3556889	1	'municipality of El Salvador'@en	0.0%
Q355646	1	'Living history'@en	0.0%
Q355472	1	'history of photography'@en	0.0%
Q355304	1	'watercourse'@en	0.0%
Q35473	1	'window'@en	0.0%
Q3533467	1	'group action'@en	0.0%
Q353163	1	'promotion'@en	0.0%
Q3522256	1	'herb garden'@en	0.0%
Q35140	1	'performance'@en	0.0%
Q3504248	1	'inner planet of the Solar System'@en	0.0%
Q3502482	1	'cultural region'@en	0.0%
Q34982659	1	'quarter of Bucharest'@en	0.0%
Q34763	1	'peninsula'@en	0.0%
Q34760007	1	'mythological ship'@en	0.0%
Q3464665	1	'television series season'@en	0.0%
Q3445354	1	'United States senior military college'@en	0.0%
Q3409269	1	'statistical unit'@en	0.0%
Q34038	1	'waterfall'@en	0.0%
Q3374262	1	'market town'@en	0.0%
Q3373936	1	'pectoral'@en	0.0%
Q3355498	1	'contemplative order'@en	0.0%
Q3354019	1	'seat farm'@en	0.0%
Q334166	1	'mode of transport'@en	0.0%
Q3336843	1	'constituent country of the United Kingdom'@en	0.0%
Q33316032	1	'moved building'@en	0.0%
Q3330083	1	'wine museum'@en	0.0%
Q3329663	1	'medical museum'@en	0.0%
Q3325736	1	'artist-run initiative'@en	0.0%
Q33185258	1	'faux lighthouse'@en	0.0%
Q33104279	1	'philosophical concept'@en	0.0%
Q3301053	1	'consolidated city-county'@en	0.0%
Q329477	1	'Kilometer zero'@en	0.0%
Q3284499	1	'capitol building'@en	0.0%
Q3280285	1	'Victorian house'@en	0.0%
Q327328	1	'stoa'@en	0.0%
Q327245	1	'team'@en	0.0%
Q3266850	1	'commune'@en	0.0%
Q325944	1	'texture'@en	0.0%
Q3257782	1	'locution'@en	0.0%
Q3241972	1	'character'@en	0.0%
Q321839	1	'agreement'@en	0.0%
Q32090	1	'lifestyle'@en	0.0%
Q3186692	1	'calendar year'@en	0.0%
Q317548	1	'resort town'@en	0.0%
Q31629	1	'type of sport'@en	0.0%
Q3146899	1	'diocese of the Catholic Church'@en	0.0%
Q31374404	1	'shopping mall'@en	0.0%
Q3136914	1	'history of Oregon'@en	0.0%
Q3124902	1	'Balinese Temple'@en	0.0%
Q3117863	1	'isolated human group'@en	0.0%
Q3116510	1	'frog'@en	0.0%
Q31028314	1	'partial contour fort'@en	0.0%
Q309100	1	'planning'@en	0.0%
Q30785519	1	'university campus'@en	0.0%
Q30634609	1	'heritage designation'@en	0.0%
Q3055118	1	'single entity of population'@en	0.0%
Q3032114	1	'district of Madrid'@en	0.0%
Q30304302	1	'National Park System unit'@en	0.0%
Q30301606	1	'cubic building'@en	0.0%
Q30301498	1	'student housing'@en	0.0%
Q30149195	1	'biblical concept'@en	0.0%
Q30124446	1	'legislative building'@en	0.0%
Q30027695	1	'0 number class'@en	0.0%
Q29968665	1	'fortress island'@en	0.0%
Q298742	1	'crown jewels'@en	0.0%
Q29857932	1	'kinetic object'@en	0.0%
Q2982955	1	'public collection'@en	0.0%
Q29791211	1	'sport in a geographic region'@en	0.0%
Q2974842	1	'lost city'@en	0.0%
Q2973801	1	'fortified line'@en	0.0%
Q297163	1	'oil mill'@en	0.0%
Q29702995	1	'chalkotheke'@en	0.0%
Q29654714	1	'national motto'@en	0.0%
Q29628876	1	'tuberculosis sanatorium'@en	0.0%
Q29556	1	'civil liberties'@en	0.0%
Q29549240	1	'protected Latvian geological and geomorphological natural monument'@en	0.0%
Q2948561	1	'fair ground'@en	0.0%
Q29469577	1	'LGBT historic place'@en	0.0%
Q2935533	1	'campo'@en	0.0%
Q29300714	1	'international association'@en	0.0%
Q2928458	1	'royal burgh'@en	0.0%
Q2927074	1	'Internet meme'@en	0.0%
Q2923447	1	'waterlines'@en	0.0%
Q2920343	1	'sarsen'@en	0.0%
Q2918952	1	'hill figure'@en	0.0%
Q29168168	1	'statue of Jesus'@en	0.0%
Q29154515	1	'chapter of the Bible'@en	0.0%
Q2915234	1	'Motzkin number'@en	0.0%
Q291177	1	'rose garden'@en	0.0%
Q2910675	1	'unfinished creative work'@en	0.0%
Q29023906	1	'temporary exhibition'@en	0.0%
Q28942344	1	'Indigenous Australian community'@en	0.0%
Q28920052	1	'non-negative integer'@en	0.0%
Q28890616	1	'group of casts'@en	0.0%
Q288514	1	'fair'@en	0.0%
Q28846085	1	'city gate of London'@en	0.0%
Q2880255	1	'resort hotel'@en	0.0%
Q28795800	1	'decimal currency'@en	0.0%
Q28737012	1	'museum of culture'@en	0.0%
Q28648855	1	'police unit'@en	0.0%
Q28608087	1	'human-based unit of measurement'@en	0.0%
Q28607738	1	'obsolete system of measurement'@en	0.0%
Q2860356	1	'visionary environments'@en	0.0%
Q28512	1	'cameo'@en	0.0%
Q2820111	1	'cult image'@en	0.0%
Q28171280	1	'ancient civilization'@en	0.0%
Q28169064	1	'68k emulator'@en	0.0%
Q28148504	1	'museum district'@en	0.0%
Q28142754	1	'food market'@en	0.0%
Q28020127	1	'fictional humanoid'@en	0.0%
Q27995042	1	'wilderness area'@en	0.0%
Q2799245	1		0.0%
