domain	property	range	count
Q1343246	P10290	Q110772636	4
Q1343246	P10290	Q618779	4
Q27686	P10290	Q110772636	2
Q27686	P10290	Q618779	2
Q64995589	P10290	Q110772636	2
Q64995589	P10290	Q618779	2
Q1343246	P112	Q5	1
Q207694	P112	Q5	1
Q1343246	P126	Q1006283	19
Q1343246	P126	Q163740	19
Q1343246	P126	Q2668072	19
Q2087181	P126	Q1006283	15
Q2087181	P126	Q163740	15
Q2087181	P126	Q2668072	15
Q160742	P126	Q1006283	1
Q160742	P126	Q163740	1
Q160742	P126	Q2668072	1
Q22698	P126	Q1006283	1
Q22698	P126	Q163740	1
Q22698	P126	Q2668072	1
Q879050	P126	Q1006283	1
Q879050	P126	Q163740	1
Q879050	P126	Q2668072	1
Q1343246	P127	Q5	34
Q1343246	P127	Q1006283	17
Q1343246	P127	Q163740	17
Q1343246	P127	Q2668072	17
Q2087181	P127	Q1006283	12
Q2087181	P127	Q163740	12
Q2087181	P127	Q2668072	12
Q2087181	P127	Q5	7
Q1343246	P127	Q2500378	2
Q23413	P127	Q5	2
Q27686	P127	Q5	2
Q879050	P127	Q5	2
Q12292478	P127	Q1006283	1
Q12292478	P127	Q163740	1
Q12292478	P127	Q2668072	1
Q12518	P127	Q15936437	1
Q12518	P127	Q38723	1
Q12518	P127	Q5	1
Q12518	P127	Q5341295	1
Q12518	P127	Q5420001	1
Q12518	P127	Q875538	1
Q1343246	P127	Q1058914	1
Q1343246	P127	Q110417190	1
Q1343246	P127	Q15936437	1
Q1343246	P127	Q1788820	1
Q1343246	P127	Q207694	1
Q1343246	P127	Q216353	1
Q1343246	P127	Q27686	1
Q1343246	P127	Q355567	1
Q1343246	P127	Q38723	1
Q1343246	P127	Q4828720	1
Q1343246	P127	Q5341295	1
Q1343246	P127	Q5420001	1
Q1343246	P127	Q875538	1
Q160742	P127	Q1006283	1
Q160742	P127	Q163740	1
Q160742	P127	Q2668072	1
Q207694	P127	Q207694	1
Q2087181	P127	Q355567	1
Q22698	P127	Q5	1
Q23413	P127	Q1006283	1
Q23413	P127	Q163740	1
Q23413	P127	Q2668072	1
Q264649	P127	Q1058914	1
Q2750108	P127	Q1006283	1
Q2750108	P127	Q163740	1
Q2750108	P127	Q2668072	1
Q2772772	P127	Q1788820	1
Q2772772	P127	Q2500378	1
Q30785519	P127	Q5	1
Q64995589	P127	Q2500378	1
Q64995589	P127	Q27686	1
Q64995589	P127	Q4828720	1
Q64995589	P127	Q5	1
Q811979	P127	Q5	1
Q879050	P127	Q15936437	1
Q879050	P127	Q38723	1
Q879050	P127	Q5341295	1
Q879050	P127	Q5420001	1
Q879050	P127	Q875538	1
