domain	property	range	count
Q482994	P1040	Q5	3
Q11424	P1040	Q5	2
Q482994	P106	Q12737077	2
Q482994	P106	Q28640	2
Q482994	P106	Q108300140	1
Q482994	P106	Q4164871	1
Q482994	P110	Q5	1
Q482994	P123	Q18127	3
Q482994	P123	Q4830453	2
Q10590726	P123	Q4830453	1
Q482994	P123	Q1589009	1
Q482994	P123	Q219577	1
Q482994	P123	Q2442401	1
Q482994	P123	Q41298	1
Q482994	P1269	Q7889	2
Q482994	P1269	Q107655869	1
Q482994	P1343	Q59825643	7
Q482994	P1343	Q35127	6
Q482994	P1343	Q847959	6
Q482994	P1343	Q47461344	3
Q482994	P1343	Q12139612	2
Q482994	P1343	Q171	2
Q482994	P1343	Q15633582	1
Q482994	P1343	Q163740	1
Q482994	P1343	Q615699	1
Q482994	P1343	Q7725634	1
Q482994	P135	Q3326717	3
Q482994	P135	Q12020884	2
Q482994	P135	Q188451	2
Q482994	P135	Q968159	2
Q482994	P136	Q188451	54127
Q482994	P136	Q589183	6030
Q482994	P136	Q28820001	1611
Q482994	P136	Q862597	1102
Q482994	P136	Q11921029	439
Q482994	P136	Q107565306	317
Q482994	P136	Q108465955	224
Q482994	P136	Q106537557	223
Q482994	P136	Q107357104	162
Q482994	P136	Q75054287	157
Q482994	P136	Q12020884	105
Q482994	P136	Q223393	96
Q482994	P136	Q7777573	89
Q10590726	P136	Q188451	59
Q482994	P136	Q107356781	59
Q482994	P136	Q968159	59
Q169930	P136	Q188451	57
Q482994	P136	Q5151404	48
Q482994	P136	Q105756498	47
Q482994	P136	Q59913930	46
Q482994	P136	Q110013851	40
Q482994	P136	Q201658	40
Q482994	P136	Q107487333	38
Q482994	P136	Q20202269	34
Q482994	P136	Q106834231	30
Q482994	P136	Q60733114	30
Q134556	P136	Q188451	28
Q482994	P136	Q3326717	27
Q482994	P136	Q1792379	21
Q10590726	P136	Q589183	17
Q394970	P136	Q188451	17
Q482994	P136	Q6942574	16
Q1997853	P136	Q188451	15
Q482994	P136	Q108040195	15
Q482994	P136	Q3516862	13
Q482994	P136	Q4263830	13
Q11424	P136	Q188451	12
Q11424	P136	Q201658	12
Q482994	P136	Q109659781	12
Q169930	P136	Q589183	10
Q482994	P136	Q2198855	10
Q482994	P136	Q4830453	10
Q482994	P136	Q483394	10
Q11424	P136	Q5151404	9
Q11424	P136	Q7777573	9
Q1261214	P136	Q5151404	9
Q1261214	P136	Q7777573	9
Q15116915	P136	Q5151404	9
Q15116915	P136	Q7777573	9
Q482994	P136	Q56296601	9
Q482994	P136	Q1326471	8
Q368281	P136	Q188451	7
Q482994	P136	Q11862829	7
Q482994	P136	Q1194240	7
Q482994	P136	Q264965	7
Q482994	P136	Q6630149	7
Q5151485	P136	Q108465955	7
Q59557805	P136	Q188451	7
Q430525	P136	Q188451	6
Q482994	P136	Q109598321	6
Q482994	P136	Q2085381	6
Q482994	P136	Q4671286	6
Q215380	P136	Q188451	5
Q482994	P136	Q108823158	5
Q482994	P136	Q21652002	5
Q482994	P136	Q32880	5
Q482994	P136	Q477544	5
Q482994	P136	Q59825918	5
Q482994	P136	Q7578130	5
Q5151485	P136	Q223393	5
Q105543609	P136	Q188451	4
Q134556	P136	Q589183	4
Q4274081	P136	Q188451	4
Q482994	P136	Q108676140	4
Q482994	P136	Q12737077	4
Q482994	P136	Q20076756	4
Q482994	P136	Q4167836	4
Q482994	P136	Q4453888	4
Q482994	P136	Q6881511	4
Q482994	P136	Q82794	4
Q482994	P136	Q891723	4
Q482994	P136	Q98645843	4
Q1261214	P136	Q201658	3
Q15116915	P136	Q201658	3
Q2031291	P136	Q188451	3
Q2619673	P136	Q188451	3
Q430525	P136	Q589183	3
Q482994	P136	Q107124887	3
Q482994	P136	Q108586636	3
Q482994	P136	Q1406161	3
Q482994	P136	Q18602566	3
Q482994	P136	Q23847174	3
Q482994	P136	Q34770	3
Q482994	P136	Q41710	3
Q105420	P136	Q188451	2
Q11424	P136	Q589183	2
Q1173065	P136	Q188451	2
Q1173065	P136	Q589183	2
Q1295240	P136	Q188451	2
Q1295240	P136	Q589183	2
Q182832	P136	Q188451	2
Q2073093	P136	Q188451	2
Q208569	P136	Q188451	2
Q220935	P136	Q188451	2
Q30592710	P136	Q188451	2
Q482994	P136	Q1194970	2
Q482994	P136	Q1288568	2
Q482994	P136	Q1292119	2
Q482994	P136	Q13136	2
Q482994	P136	Q1320047	2
Q482994	P136	Q15961983	2
Q482994	P136	Q15961987	2
Q482994	P136	Q179461	2
Q482994	P136	Q18127	2
Q482994	P136	Q2572794	2
Q482994	P136	Q4178140	2
Q482994	P136	Q49773	2
Q482994	P136	Q504514	2
Q482994	P136	Q5484828	2
Q5151485	P136	Q5151404	2
Q7366	P136	Q188451	2
Q10590726	P136	Q201658	1
Q107391427	P136	Q188451	1
Q11424	P136	Q59825918	1
Q131765	P136	Q188451	1
Q134556	P136	Q483394	1
Q134556	P136	Q75054287	1
Q134556	P136	Q862597	1
Q149757	P136	Q188451	1
Q1573906	P136	Q188451	1
Q169930	P136	Q201658	1
Q17518461	P136	Q188451	1
Q1800833	P136	Q188451	1
Q1800833	P136	Q589183	1
Q1850936	P136	Q188451	1
Q1997853	P136	Q589183	1
Q1997853	P136	Q862597	1
Q208569	P136	Q589183	1
Q215380	P136	Q75054287	1
Q21997607	P136	Q188451	1
Q24862	P136	Q201658	1
Q2565300	P136	Q188451	1
Q2565300	P136	Q589183	1
Q2619673	P136	Q28820001	1
Q2707384	P136	Q188451	1
Q2712714	P136	Q108586636	1
Q2712714	P136	Q188451	1
Q273057	P136	Q188451	1
Q2831984	P136	Q107565306	1
Q2831984	P136	Q188451	1
Q3331189	P136	Q188451	1
Q34508	P136	Q188451	1
Q394970	P136	Q589183	1
Q430525	P136	Q201658	1
Q47461344	P136	Q108465955	1
Q47461344	P136	Q188451	1
Q482994	P136	Q1021645	1
Q482994	P136	Q106043376	1
Q482994	P136	Q108317211	1
Q482994	P136	Q108329096	1
Q482994	P136	Q108368282	1
Q482994	P136	Q1126006	1
Q482994	P136	Q12119802	1
Q482994	P136	Q12343431	1
Q482994	P136	Q1331793	1
Q482994	P136	Q13584036	1
Q482994	P136	Q14350	1
Q482994	P136	Q152559	1
Q482994	P136	Q166142	1
Q482994	P136	Q167037	1
Q482994	P136	Q170406	1
Q482994	P136	Q1797194	1
Q482994	P136	Q18388277	1
Q482994	P136	Q19116554	1
Q482994	P136	Q19307174	1
Q482994	P136	Q2095	1
Q482994	P136	Q210337	1
Q482994	P136	Q240795	1
Q482994	P136	Q2418896	1
Q482994	P136	Q24579448	1
Q482994	P136	Q24657198	1
Q482994	P136	Q2465832	1
Q482994	P136	Q28640	1
Q482994	P136	Q2927074	1
Q482994	P136	Q33384	1
Q482994	P136	Q4167410	1
Q482994	P136	Q431289	1
Q482994	P136	Q43229	1
Q482994	P136	Q45971958	1
Q482994	P136	Q5009242	1
Q482994	P136	Q50825543	1
Q482994	P136	Q5107	1
Q482994	P136	Q5158735	1
Q482994	P136	Q561068	1
Q482994	P136	Q5932254	1
Q482994	P136	Q621993	1
Q482994	P136	Q659563	1
Q482994	P136	Q67515288	1
Q482994	P136	Q7094076	1
Q482994	P136	Q778575	1
Q482994	P136	Q81947509	1
Q482994	P136	Q937228	1
Q482994	P136	Q97430452	1
Q506240	P136	Q201658	1
Q5151485	P136	Q108040195	1
Q5151485	P136	Q188451	1
Q5151485	P136	Q483394	1
Q5151485	P136	Q7777573	1
Q5398426	P136	Q15961987	1
Q558325	P136	Q188451	1
Q559618	P136	Q188451	1
Q559618	P136	Q589183	1
Q57976524	P136	Q188451	1
Q581714	P136	Q12343431	1
Q59557805	P136	Q28820001	1
Q59557805	P136	Q589183	1
Q7725634	P136	Q188451	1
Q98645843	P136	Q188451	1
Q482994	P1365	Q482994	1
Q482994	P1365	Q59557805	1
Q482994	P138	Q5	21
Q482994	P138	Q105543609	11
Q482994	P138	Q134556	5
Q482994	P138	Q482994	4
Q482994	P138	Q11424	2
Q482994	P138	Q15632617	2
Q482994	P138	Q167270	2
Q482994	P138	Q188451	2
Q482994	P138	Q21092339	2
Q482994	P138	Q215380	2
Q482994	P138	Q35657	2
Q482994	P138	Q79007	2
Q482994	P138	Q101487	1
Q482994	P138	Q105890973	1
Q482994	P138	Q10648343	1
Q482994	P138	Q11173	1
Q482994	P138	Q11332699	1
Q482994	P138	Q12140	1
Q482994	P138	Q123705	1
Q482994	P138	Q13691	1
Q482994	P138	Q148057	1
Q482994	P138	Q151885	1
Q482994	P138	Q15253354	1
Q482994	P138	Q15416	1
Q482994	P138	Q1555508	1
Q482994	P138	Q1573906	1
Q482994	P138	Q159535	1
Q482994	P138	Q15978299	1
Q482994	P138	Q159979	1
Q482994	P138	Q16560	1
Q482994	P138	Q184511	1
Q482994	P138	Q18674739	1
Q482994	P138	Q187931	1
Q482994	P138	Q188443	1
Q482994	P138	Q189349	1
Q482994	P138	Q2016031	1
Q482994	P138	Q2065736	1
Q482994	P138	Q2074737	1
Q482994	P138	Q210999	1
Q482994	P138	Q21745157	1
Q482994	P138	Q22808404	1
Q482994	P138	Q229390	1
Q482994	P138	Q235670	1
Q482994	P138	Q23847174	1
Q482994	P138	Q23958852	1
Q482994	P138	Q25110269	1
Q482994	P138	Q26883973	1
Q482994	P138	Q2775969	1
Q482994	P138	Q2832080	1
Q482994	P138	Q29654788	1
Q482994	P138	Q29982117	1
Q482994	P138	Q30106090	1
Q482994	P138	Q3186692	1
Q482994	P138	Q32880	1
Q482994	P138	Q3305213	1
Q482994	P138	Q34442	1
Q482994	P138	Q41298	1
Q482994	P138	Q4421	1
Q482994	P138	Q44613	1
Q482994	P138	Q4502119	1
Q482994	P138	Q5153359	1
Q482994	P138	Q5446565	1
Q482994	P138	Q55427776	1
Q482994	P138	Q55488	1
Q482994	P138	Q58483083	1
Q482994	P138	Q621184	1
Q482994	P138	Q63493660	1
Q482994	P138	Q641066	1
Q482994	P138	Q7278	1
Q482994	P138	Q72801119	1
Q482994	P138	Q72941151	1
Q482994	P138	Q7302866	1
Q482994	P138	Q7366	1
Q482994	P138	Q7725634	1
Q482994	P138	Q7819319	1
Q482994	P138	Q7841907	1
Q482994	P138	Q8016240	1
Q482994	P138	Q82794	1
Q482994	P138	Q850692	1
Q482994	P138	Q87167	1
Q482994	P138	Q8719053	1
Q482994	P138	Q87410915	1
Q482994	P138	Q95074	1
