domain	property	range	count
Q20819922	P1001	Q1351282	1
Q20819922	P1001	Q5852411	1
Q327333	P1001	Q1351282	1
Q327333	P1001	Q5852411	1
Q215380	P101	Q188451	35
Q215380	P101	Q11921029	20
Q20819922	P101	Q11862829	18
Q20819922	P101	Q56055944	18
Q215380	P101	Q11862829	17
Q215380	P101	Q56055944	17
Q215380	P101	Q12737077	7
Q215380	P101	Q66715801	7
Q5741069	P101	Q12737077	7
Q5741069	P101	Q66715801	7
Q20819922	P101	Q110013851	4
Q20819922	P101	Q188451	4
Q20819922	P101	Q7777573	4
Q20819922	P101	Q862597	4
Q9212979	P101	Q188451	4
Q153562	P101	Q11862829	3
Q153562	P101	Q56055944	3
Q215380	P101	Q107487333	3
Q708676	P101	Q11862829	3
Q708676	P101	Q56055944	3
Q14073567	P101	Q188451	2
Q20819922	P101	Q107357104	2
Q20819922	P101	Q20643324	2
Q20819922	P101	Q45971958	2
Q215380	P101	Q1047113	2
Q5741069	P101	Q1047113	2
Q5741069	P101	Q56055944	2
Q742421	P101	Q11862829	2
Q742421	P101	Q56055944	2
Q9212979	P101	Q107487333	2
Q109429068	P101	Q188451	1
Q14073567	P101	Q1047113	1
Q14073567	P101	Q11862829	1
Q14073567	P101	Q2267705	1
Q14073567	P101	Q4671286	1
Q153562	P101	Q107357104	1
Q153562	P101	Q110013851	1
Q153562	P101	Q188451	1
Q153562	P101	Q45971958	1
Q153562	P101	Q7777573	1
Q153562	P101	Q862597	1
Q15811601	P101	Q11862829	1
Q15811601	P101	Q56055944	1
Q163740	P101	Q11862829	1
Q163740	P101	Q56055944	1
Q207338	P101	Q107487333	1
Q207338	P101	Q188451	1
Q215380	P101	Q106537557	1
Q215380	P101	Q12020884	1
Q215380	P101	Q19958368	1
Q215380	P101	Q4671286	1
Q215380	P101	Q75054287	1
Q215380	P101	Q862597	1
Q24354	P101	Q11862829	1
Q24354	P101	Q56055944	1
Q3152824	P101	Q11862829	1
Q3152824	P101	Q56055944	1
Q3354534	P101	Q107357104	1
Q3354534	P101	Q110013851	1
Q3354534	P101	Q11862829	1
