domain	property	range	count
Q23413	P10290	Q110772636	2
Q23413	P10290	Q618779	2
Q27686	P10290	Q110772636	1
Q27686	P10290	Q618779	1
Q64995589	P10290	Q110772636	1
Q64995589	P10290	Q618779	1
Q23413	P112	Q5	25
Q839954	P112	Q5	4
Q19860854	P112	Q5	1
Q2087181	P112	Q5	1
Q23413	P112	Q355567	1
Q62832	P112	Q5	1
Q7335033	P112	Q5	1
Q23413	P126	Q3343298	12
Q23413	P126	Q1006283	7
Q23413	P126	Q163740	7
Q23413	P126	Q2668072	7
Q839954	P126	Q3343298	4
Q2087181	P126	Q1006283	2
Q2087181	P126	Q163740	2
Q2087181	P126	Q2668072	2
Q180174	P126	Q1006283	1
Q180174	P126	Q163740	1
Q180174	P126	Q2668072	1
Q28045079	P126	Q3343298	1
Q32164125	P126	Q3343298	1
Q23413	P127	Q5	28
Q23413	P127	Q708676	10
Q23413	P127	Q2085381	7
Q23413	P127	Q6516200	7
Q23413	P127	Q1006283	5
Q23413	P127	Q7275	5
Q2087181	P127	Q5	4
Q23413	P127	Q327333	4
Q23413	P127	Q355567	4
Q23413	P127	Q43229	4
Q2087181	P127	Q2085381	3
Q2087181	P127	Q6516200	3
Q2087181	P127	Q708676	3
Q23413	P127	Q13417114	3
Q23413	P127	Q3343298	3
Q33506	P127	Q5	3
Q1343246	P127	Q5	2
Q23413	P127	Q123480	2
Q23413	P127	Q13406463	2
Q23413	P127	Q163740	2
Q23413	P127	Q179164	2
Q23413	P127	Q2668072	2
Q23413	P127	Q2919801	2
Q23413	P127	Q3624078	2
Q23413	P127	Q474717	2
Q23413	P127	Q493522	2
Q23413	P127	Q499247	2
Q23413	P127	Q6256	2
Q23413	P127	Q8436	2
Q570116	P127	Q5	2
Q751876	P127	Q2919801	2
Q751876	P127	Q7275	2
Q10416961	P127	Q5	1
Q1081138	P127	Q54935504	1
Q1081138	P127	Q70208	1
Q109607	P127	Q7275	1
Q1128397	P127	Q474717	1
Q1195705	P127	Q13417114	1
Q1195705	P127	Q5	1
Q1343246	P127	Q1006283	1
Q1343246	P127	Q163740	1
Q1343246	P127	Q2668072	1
Q17715832	P127	Q15978299	1
Q17715832	P127	Q493522	1
Q17715832	P127	Q5153359	1
Q180174	P127	Q1006283	1
Q180174	P127	Q163740	1
Q180174	P127	Q2668072	1
Q19860854	P127	Q327333	1
Q210272	P127	Q474717	1
Q23413	P127	Q15060255	1
Q23413	P127	Q15273785	1
Q23413	P127	Q1549591	1
Q23413	P127	Q155076	1
Q23413	P127	Q15978299	1
Q23413	P127	Q160742	1
Q23413	P127	Q1631129	1
Q23413	P127	Q165116	1
Q23413	P127	Q18631232	1
Q23413	P127	Q18759100	1
Q23413	P127	Q208500	1
Q23413	P127	Q23058	1
Q23413	P127	Q244381	1
Q23413	P127	Q2665272	1
Q23413	P127	Q26879769	1
Q23413	P127	Q27062351	1
Q23413	P127	Q27686	1
Q23413	P127	Q3146899	1
Q23413	P127	Q3336843	1
Q23413	P127	Q3556994	1
Q23413	P127	Q41614	1
Q23413	P127	Q5153359	1
Q23413	P127	Q54935504	1
Q23413	P127	Q6266	1
Q23413	P127	Q68295960	1
Q23413	P127	Q699386	1
Q23413	P127	Q70208	1
Q23413	P127	Q747074	1
Q23413	P127	Q902814	1
Q27686	P127	Q355567	1
Q2772772	P127	Q699386	1
Q3330083	P127	Q54935504	1
Q3330083	P127	Q70208	1
Q33506	P127	Q13417114	1
Q33506	P127	Q15273785	1
Q33506	P127	Q1549591	1
Q33506	P127	Q493522	1
Q33506	P127	Q54935504	1
Q33506	P127	Q70208	1
Q4989906	P127	Q474717	1
Q4989906	P127	Q5	1
Q570116	P127	Q68295960	1
Q615810	P127	Q15273785	1
Q615810	P127	Q1549591	1
Q615810	P127	Q493522	1
Q615810	P127	Q5	1
Q751876	P127	Q902814	1
Q811979	P127	Q155076	1
Q811979	P127	Q18631232	1
Q811979	P127	Q8436	1
Q839954	P127	Q3343298	1
Q839954	P127	Q41614	1
Q839954	P127	Q43229	1
Q839954	P127	Q5	1
Q92026	P127	Q5	1
Q92062	P127	Q2085381	1
Q92062	P127	Q5	1
Q92062	P127	Q6516200	1
Q92062	P127	Q708676	1
Q96211395	P127	Q5	1
Q96211395	P127	Q68295960	1
Q23413	P1299	Q3305213	4
Q19860854	P1299	Q3305213	1
Q23413	P1299	Q125191	1
Q23413	P1299	Q18761202	1
Q839954	P1299	Q18761202	1
Q23413	P131	Q15060255	216
Q23413	P131	Q1115575	199
Q23413	P131	Q532	141
Q23413	P131	Q5124673	122
Q23413	P131	Q202435	83
Q23413	P131	Q2138167	73
Q23413	P131	Q21457810	70
Q23413	P131	Q3957	70
Q23413	P131	Q23058	56
Q23413	P131	Q70208	54
Q23413	P131	Q7309443	48
Q23413	P131	Q179872	42
Q23413	P131	Q2630741	37
Q23413	P131	Q667509	35
Q23413	P131	Q515	30
Q23413	P131	Q486972	22
Q811979	P131	Q70208	21
Q811979	P131	Q23058	20
Q23413	P131	Q42744322	19
Q2087181	P131	Q1115575	18
Q23413	P131	Q1549591	18
Q23413	P131	Q34763	18
Q23413	P131	Q1221156	17
Q23413	P131	Q2919801	17
Q23413	P131	Q484170	16
Q23413	P131	Q180673	15
Q23413	P131	Q2074737	15
Q17715832	P131	Q70208	13
Q23413	P131	Q13539802	13
Q1343246	P131	Q1115575	12
Q17715832	P131	Q23058	12
Q23413	P131	Q262166	12
Q23413	P131	Q562061	12
Q23413	P131	Q1187580	11
Q23413	P131	Q7897276	11
Q23413	P131	Q1006876	10
Q23413	P131	Q1802801	10
Q23413	P131	Q54935504	10
Q839954	P131	Q2630741	10
Q4989906	P131	Q2074737	9
Q1343246	P131	Q532	8
Q2087181	P131	Q3957	8
Q23413	P131	Q1357964	8
Q23413	P131	Q15979307	8
Q33506	P131	Q667509	8
Q109607	P131	Q667509	7
Q2087181	P131	Q532	7
Q23413	P131	Q127448	7
Q23413	P131	Q33146843	7
Q23413	P131	Q5084	7
Q23413	P131	Q5153359	7
Q23413	P131	Q56061	7
Q23413	P131	Q747074	7
Q23413	P131	Q902814	7
Q751876	P131	Q484170	7
Q839954	P131	Q1115575	7
Q839954	P131	Q3957	7
Q839954	P131	Q532	7
Q92062	P131	Q1115575	7
Q23413	P131	Q18511725	6
Q23413	P131	Q21503295	6
Q23413	P131	Q328584	6
Q23413	P131	Q493522	6
Q23413	P131	Q67376938	6
Q5267014	P131	Q1115575	6
Q751876	P131	Q2919801	6
Q839954	P131	Q15060255	6
Q180174	P131	Q1115575	5
Q2065736	P131	Q667509	5
Q210272	P131	Q1131296	5
Q23413	P131	Q1131296	5
Q23413	P131	Q1317848	5
Q23413	P131	Q134626	5
Q23413	P131	Q5119	5
Q5267014	P131	Q3957	5
Q839954	P131	Q5124673	5
Q109607	P131	Q13539802	4
Q11691318	P131	Q1221156	4
Q17715832	P131	Q5153359	4
Q180174	P131	Q532	4
Q23413	P131	Q1002812	4
Q23413	P131	Q1136601	4
Q23413	P131	Q1187811	4
Q23413	P131	Q15273785	4
Q23413	P131	Q15334	4
Q23413	P131	Q21869758	4
Q23413	P131	Q3032132	4
Q23413	P131	Q57053	4
Q2772772	P131	Q1115575	4
Q33506	P131	Q562061	4
Q751876	P131	Q667509	4
Q91312	P131	Q15060255	4
Q91312	P131	Q5124673	4
Q109607	P131	Q1115575	3
Q109607	P131	Q2919801	3
Q109607	P131	Q532	3
Q19860854	P131	Q15060255	3
Q23413	P131	Q11732217	3
Q23413	P131	Q12131624	3
Q23413	P131	Q13455770	3
Q23413	P131	Q137535	3
Q23413	P131	Q14770218	3
Q23413	P131	Q15105893	3
Q23413	P131	Q15584664	3
Q23413	P131	Q15978299	3
Q23413	P131	Q162620	3
Q23413	P131	Q16362394	3
Q23413	P131	Q17376095	3
Q23413	P131	Q188509	3
Q23413	P131	Q19953632	3
Q23413	P131	Q2039348	3
Q23413	P131	Q22580836	3
Q23413	P131	Q2327515	3
Q23413	P131	Q253030	3
Q23413	P131	Q28122896	3
Q23413	P131	Q3336843	3
Q23413	P131	Q494721	3
Q23413	P131	Q57058	3
Q23413	P131	Q61089180	3
Q23413	P131	Q685309	3
Q23413	P131	Q707813	3
Q23413	P131	Q7216840	3
Q23413	P131	Q769603	3
Q23413	P131	Q856076	3
Q2772772	P131	Q3957	3
Q32164125	P131	Q2630741	3
Q33506	P131	Q13539802	3
Q751876	P131	Q13539802	3
Q751876	P131	Q21869758	3
Q751876	P131	Q5153359	3
Q811979	P131	Q3032132	3
Q811979	P131	Q54935504	3
Q811979	P131	Q56061	3
Q839954	P131	Q15979307	3
Q91312	P131	Q2138167	3
Q109607	P131	Q3957	2
Q109607	P131	Q562061	2
Q1195705	P131	Q667509	2
Q1343246	P131	Q3957	2
Q1595639	P131	Q1115575	2
Q1595639	P131	Q3957	2
Q17715832	P131	Q1115575	2
Q17715832	P131	Q179872	2
Q17715832	P131	Q532	2
Q17715832	P131	Q6784672	2
Q1923257	P131	Q15060255	2
Q1923257	P131	Q202435	2
Q1923257	P131	Q21457810	2
Q1923257	P131	Q5124673	2
Q19860854	P131	Q179872	2
Q19860854	P131	Q202435	2
Q19860854	P131	Q21457810	2
Q2065736	P131	Q13539802	2
Q2065736	P131	Q562061	2
Q2087181	P131	Q1006876	2
Q2087181	P131	Q1187580	2
Q23413	P131	Q1066984	2
Q23413	P131	Q1074523	2
Q23413	P131	Q109329953	2
Q23413	P131	Q1147395	2
Q23413	P131	Q13220204	2
Q23413	P131	Q13417250	2
Q23413	P131	Q14784328	2
Q23413	P131	Q15127838	2
Q23413	P131	Q16739079	2
