property	count	property;label	percentage
P577	20852	'publication date'@en	99.45%
P175	20802	'performer'@en	99.21%
P646	20183	'Freebase ID'@en	96.26%
P264	19189	'record label'@en	91.52%
P136	19080	'genre'@en	91.0%
P361	17770	'part of'@en	84.75%
P156	15594	'followed by'@en	74.37%
P155	15055	'follows'@en	71.8%
P2624	8849	'MetroLyrics ID'@en	42.2%
P495	8212	'country of origin'@en	39.16%
P436	7941	'MusicBrainz release group ID'@en	37.87%
P1954	7838	'Discogs master ID'@en	37.38%
P1651	5833	'YouTube video ID'@en	27.82%
P435	5545	'MusicBrainz work ID'@en	26.45%
P162	5071	'producer'@en	24.18%
P676	2992	'lyrics by'@en	14.27%
P437	1970	'distribution format'@en	9.4%
P407	1692	'language of work or name'@en	8.07%
P86	1600	'composer'@en	7.63%
P2581	1562	'BabelNet ID'@en	7.45%
P1552	1426	'has quality'@en	6.8%
P1476	971	'title'@en	4.63%
P8856	956	'British Phonographic Industry ID'@en	4.56%
P9182	694	'uta-net.com song ID'@en	3.31%
P1889	591	'different from'@en	2.82%
P7937	374	'form of creative work'@en	1.78%
P1729	348	'AllMusic album ID'@en	1.66%
P1730	331	'AllMusic song ID'@en	1.58%
P2047	325	'duration'@en	1.55%
P1827	311	'ISWC'@en	1.48%
P2671	283	'Google Knowledge Graph ID'@en	1.35%
P3417	261	'Quora topic ID'@en	1.24%
P6218	254	'Genius song ID'@en	1.21%
P856	205	'official website'@en	0.98%
P571	202	'inception'@en	0.96%
P2206	202	'Discogs release ID'@en	0.96%
P2207	190	'Spotify track ID'@en	0.91%
P658	158	'tracklist'@en	0.75%
P826	149	'tonality'@en	0.71%
P3192	139	'Last.fm ID'@en	0.66%
P7212	131	'LyricsTranslate ID'@en	0.62%
P2724	129	'Deezer track ID'@en	0.62%
P1725	122	'beats per minute'@en	0.58%
P291	116	'place of publication'@en	0.55%
P166	116	'award received'@en	0.55%
P1411	116	'nominated for'@en	0.55%
P18	114	'image'@en	0.54%
P1417	111	'Encyclopædia Britannica Online ID'@en	0.53%
P8392	101	'Rate Your Music release ID'@en	0.48%
P5915	93	'Shazam track ID'@en	0.44%
P17	89	'country'@en	0.42%
P3040	83	'SoundCloud ID'@en	0.4%
P5241	81	'Songfacts song ID'@en	0.39%
P5197	77	'Melon song ID'@en	0.37%
P7067	64	'Album of the Year album ID'@en	0.31%
P154	64	'logo image'@en	0.31%
