domain	property	range	count
Q38048707	P1001	Q112099	1
Q38048707	P1001	Q1250464	1
Q38048707	P1001	Q20181813	1
Q38048707	P1001	Q202686	1
Q38048707	P1001	Q3624078	1
Q38048707	P1001	Q6256	1
Q41176	P1001	Q112099	1
Q41176	P1001	Q1250464	1
Q41176	P1001	Q20181813	1
Q41176	P1001	Q202686	1
Q41176	P1001	Q3624078	1
Q41176	P1001	Q6256	1
Q4824242	P1001	Q112099	1
Q4824242	P1001	Q1250464	1
Q4824242	P1001	Q20181813	1
Q4824242	P1001	Q202686	1
Q4824242	P1001	Q3624078	1
Q4824242	P1001	Q6256	1
Q27686	P10290	Q110772636	3
Q27686	P10290	Q618779	3
Q41176	P10290	Q110772636	3
Q41176	P10290	Q618779	3
Q41176	P112	Q5	4
Q2680291	P112	Q5	1
Q43229	P112	Q5	1
Q4989906	P112	Q5	1
Q847017	P112	Q5	1
Q41176	P126	Q1006283	1
Q41176	P126	Q163740	1
Q41176	P126	Q2668072	1
Q41176	P127	Q4830453	14
Q41176	P127	Q5	8
Q41176	P127	Q45400320	5
Q41176	P127	Q22687	4
Q41176	P127	Q6881511	4
Q41176	P127	Q875538	4
Q41176	P127	Q1549591	3
Q41176	P127	Q3918	3
Q41176	P127	Q515	3
Q41176	P127	Q650241	3
Q41176	P127	Q7188	3
Q41176	P127	Q891723	3
Q41176	P127	Q23002054	2
Q41176	P127	Q3624078	2
Q41176	P127	Q5341295	2
Q41176	P127	Q6256	2
Q41176	P127	Q66344	2
Q41176	P127	Q730038	2
Q41176	P127	Q748019	2
Q41176	P127	Q783794	2
Q1021645	P127	Q14941854	1
Q1021645	P127	Q56489561	1
Q1021645	P127	Q6881511	1
Q1129142	P127	Q1093829	1
Q1129142	P127	Q1549591	1
Q1129142	P127	Q1637706	1
Q11303	P127	Q4830453	1
Q1497375	P127	Q4830453	1
Q16560	P127	Q13417114	1
Q16560	P127	Q31728	1
Q16560	P127	Q5	1
Q16560	P127	Q515	1
Q16560	P127	Q747074	1
Q16560	P127	Q956214	1
Q25550691	P127	Q13417114	1
Q25550691	P127	Q5	1
Q25550691	P127	Q515	1
Q25550691	P127	Q747074	1
Q25550691	P127	Q956214	1
Q2680291	P127	Q45400320	1
Q2680291	P127	Q875538	1
Q27686	P127	Q4830453	1
Q33506	P127	Q2177636	1
Q3947	P127	Q5	1
Q41176	P127	Q1093829	1
Q41176	P127	Q110417190	1
Q41176	P127	Q123480	1
Q41176	P127	Q13212489	1
Q41176	P127	Q13417114	1
Q41176	P127	Q13539802	1
Q41176	P127	Q14762300	1
Q41176	P127	Q1483341	1
Q41176	P127	Q14941854	1
Q41176	P127	Q1497649	1
Q41176	P127	Q1520223	1
Q41176	P127	Q15265344	1
Q41176	P127	Q161726	1
Q41176	P127	Q1637706	1
Q41176	P127	Q170156	1
Q41176	P127	Q1768043	1
Q41176	P127	Q1852859	1
Q41176	P127	Q1966910	1
Q41176	P127	Q2023606	1
Q41176	P127	Q2039348	1
Q41176	P127	Q20971972	1
Q41176	P127	Q2177636	1
Q41176	P127	Q23002039	1
Q41176	P127	Q2549179	1
Q41176	P127	Q2659272	1
Q41176	P127	Q270791	1
Q41176	P127	Q272231	1
Q41176	P127	Q3044930	1
Q41176	P127	Q31728	1
Q41176	P127	Q31855	1
Q41176	P127	Q327333	1
Q41176	P127	Q35798	1
Q41176	P127	Q414147	1
Q41176	P127	Q43229	1
Q41176	P127	Q43702	1
Q41176	P127	Q46970	1
Q41176	P127	Q4852737	1
Q41176	P127	Q497893	1
Q41176	P127	Q5038204	1
Q41176	P127	Q5119	1
Q41176	P127	Q5341296	1
Q41176	P127	Q536390	1
Q41176	P127	Q56489561	1
Q41176	P127	Q568041	1
Q41176	P127	Q576603	1
Q41176	P127	Q62078547	1
Q41176	P127	Q658255	1
Q41176	P127	Q6593035	1
Q41176	P127	Q7275	1
Q41176	P127	Q747074	1
Q41176	P127	Q811979	1
Q41176	P127	Q902814	1
Q41176	P127	Q956214	1
Q455403	P127	Q123480	1
Q455403	P127	Q170156	1
Q455403	P127	Q3624078	1
Q455403	P127	Q43702	1
Q455403	P127	Q6256	1
Q455403	P127	Q66344	1
Q455403	P127	Q891723	1
Q4989906	P127	Q45400320	1
Q4989906	P127	Q875538	1
Q5773747	P127	Q5	1
Q7540126	P127	Q14941854	1
Q7540126	P127	Q56489561	1
Q7540126	P127	Q6881511	1
Q76321820	P127	Q1093829	1
Q76321820	P127	Q1549591	1
Q76321820	P127	Q1637706	1
Q811979	P127	Q7275	1
Q41176	P131	Q35657	1013
Q41176	P131	Q1549591	202
Q41176	P131	Q1093829	139
Q41176	P131	Q515	97
Q41176	P131	Q62049	83
Q41176	P131	Q1637706	74
Q41176	P131	Q5119	72
Q41176	P131	Q10864048	42
Q41176	P131	Q475050	34
Q41176	P131	Q13410464	27
Q41176	P131	Q1115575	25
Q41176	P131	Q51929311	24
Q41176	P131	Q7897276	23
Q41176	P131	Q127448	22
Q41176	P131	Q21503295	22
Q41176	P131	Q532	21
Q41176	P131	Q5852411	21
Q41176	P131	Q408804	20
Q41176	P131	Q211690	16
Q41176	P131	Q21518270	16
Q41176	P131	Q50330360	16
Q41176	P131	Q56061	14
Q41176	P131	Q902814	11
Q41176	P131	Q1002812	10
Q41176	P131	Q133156	10
Q41176	P131	Q13415368	10
Q41176	P131	Q2177636	10
Q3947	P131	Q35657	9
Q41176	P131	Q1094397	9
Q41176	P131	Q1422929	9
Q41176	P131	Q192611	9
Q41176	P131	Q29946056	9
Q3947	P131	Q1093829	8
Q41176	P131	Q13415370	8
Q41176	P131	Q200250	8
Q41176	P131	Q2630741	8
Q41176	P131	Q15060255	7
Q41176	P131	Q15127012	7
Q41176	P131	Q174844	7
Q41176	P131	Q2039348	7
Q41176	P131	Q2074737	7
Q41176	P131	Q21010817	7
Q41176	P131	Q2264924	7
Q41176	P131	Q3957	7
Q41176	P131	Q486972	7
Q41176	P131	Q747074	7
Q1497375	P131	Q127448	6
Q3947	P131	Q1549591	6
Q41176	P131	Q11774097	6
Q41176	P131	Q1187811	6
Q41176	P131	Q13218391	6
Q41176	P131	Q640364	6
Q41176	P131	Q7930989	6
Q41176	P131	Q1006876	5
Q41176	P131	Q11828004	5
Q41176	P131	Q183342	5
Q41176	P131	Q2154459	5
Q41176	P131	Q43263	5
Q41176	P131	Q4442912	5
Q41176	P131	Q55557858	5
Q41176	P131	Q5888666	5
Q41176	P131	Q76514543	5
Q33506	P131	Q35657	4
Q358	P131	Q55557858	4
Q3947	P131	Q62049	4
Q41176	P131	Q1066984	4
Q41176	P131	Q110071194	4
Q41176	P131	Q1266818	4
Q41176	P131	Q3301053	4
Q41176	P131	Q42744322	4
Q41176	P131	Q856076	4
Q41176	P131	Q9035798	4
Q358	P131	Q5852411	3
Q3947	P131	Q11774097	3
Q3947	P131	Q21518270	3
Q41176	P131	Q1066538	3
Q41176	P131	Q1136601	3
Q41176	P131	Q1208802	3
Q41176	P131	Q123705	3
Q41176	P131	Q13539802	3
Q41176	P131	Q14762300	3
Q41176	P131	Q17343829	3
Q41176	P131	Q1907114	3
Q41176	P131	Q202435	3
Q41176	P131	Q21507383	3
Q41176	P131	Q250811	3
Q41176	P131	Q27554677	3
Q41176	P131	Q33146843	3
Q41176	P131	Q58339717	3
Q41176	P131	Q6784672	3
Q41176	P131	Q748149	3
Q11303	P131	Q1549591	2
Q1440300	P131	Q1637706	2
Q2065736	P131	Q192299	2
Q2065736	P131	Q755707	2
Q33506	P131	Q1549591	2
Q33506	P131	Q2039348	2
Q33506	P131	Q2177636	2
Q33506	P131	Q902814	2
Q3950	P131	Q747074	2
Q41176	P131	Q1062177	2
Q41176	P131	Q1187580	2
Q41176	P131	Q1200957	2
Q41176	P131	Q12102963	2
Q41176	P131	Q13212489	2
Q41176	P131	Q1349648	2
Q41176	P131	Q1357964	2
Q41176	P131	Q14192234	2
Q41176	P131	Q15105893	2
Q41176	P131	Q15243209	2
Q41176	P131	Q1530824	2
Q41176	P131	Q15634883	2
Q41176	P131	Q16831714	2
Q41176	P131	Q1768043	2
Q41176	P131	Q1852859	2
Q41176	P131	Q1901835	2
Q41176	P131	Q192299	2
Q41176	P131	Q19833031	2
Q41176	P131	Q202509	2
Q41176	P131	Q20528428	2
Q41176	P131	Q208511	2
Q41176	P131	Q2138167	2
Q41176	P131	Q21457810	2
Q41176	P131	Q24279	2
Q41176	P131	Q253030	2
