property	count	property;label	percentage
P17	2331	'country'@en	99.91%
P625	2308	'coordinate location'@en	98.93%
P131	2298	'located in the administrative territorial entity'@en	98.5%
P646	2293	'Freebase ID'@en	98.29%
P1435	2240	'heritage designation'@en	96.01%
P18	2099	'image'@en	89.97%
P649	2036	'NRHP reference number'@en	87.27%
P149	664	'architectural style'@en	28.46%
P373	494	'Commons category'@en	21.17%
P571	197	'inception'@en	8.44%
P7959	167	'historic county'@en	7.16%
P613	123	'OS grid reference'@en	5.27%
P1216	123	'National Heritage List for England number'@en	5.27%
P2581	110	'BabelNet ID'@en	4.71%
P6375	89	'street address'@en	3.81%
P84	88	'architect'@en	3.77%
P276	69	'location'@en	2.96%
P856	62	'official website'@en	2.66%
P214	40	'VIAF ID'@en	1.71%
P8655	38	'LoC HABS/HAER/HALS place ID'@en	1.63%
P1566	35	'GeoNames ID'@en	1.5%
P7859	34	'WorldCat Identities ID'@en	1.46%
P361	30	'part of'@en	1.29%
P186	27	'made from material'@en	1.16%
P6012	26	'California Office of Historic Preservation ID'@en	1.11%
P709	25	'Historic Scotland ID'@en	1.07%
P718	24	'Canmore ID'@en	1.03%
P127	23	'owned by'@en	0.99%
P1101	23	'floors above ground'@en	0.99%
P669	21	'located on street'@en	0.9%
P477	21	'Canadian Register of Historic Places ID'@en	0.9%
P244	21	'Library of Congress authority ID'@en	0.9%
P7618	18	'Virginia Landmarks Register ID'@en	0.77%
P5383	18	'archINFORM project ID'@en	0.77%
P281	18	'postal code'@en	0.77%
P138	18	'named after'@en	0.77%
P7772	16	'Atlas Obscura identifier'@en	0.69%
P9042	13	'DiCamillo Database Country House ID'@en	0.56%
P935	12	'Commons gallery'@en	0.51%
P8132	12	'Texas Historic Sites Atlas ID'@en	0.51%
P4120	12	'Ontario Heritage Act Register ID'@en	0.51%
P2526	12	'National Historic Sites of Canada ID'@en	0.51%
P793	10	'significant event'@en	0.43%
P2789	10	'connects with'@en	0.43%
P88	9	'commissioned by'@en	0.39%
P7630	9	'Dictionary of Scottish Architects building ID'@en	0.39%
P30	8	'continent'@en	0.34%
P466	7	'occupant'@en	0.3%
P3481	7	'Parks & Gardens UK record ID'@en	0.3%
P5816	6	'state of conservation'@en	0.26%
P421	6	'located in time zone'@en	0.26%
P3417	6	'Quora topic ID'@en	0.26%
P2671	6	'Google Knowledge Graph ID'@en	0.26%
P1889	6	'different from'@en	0.26%
P1705	6	'native label'@en	0.26%
P910	5	'topic\'s main category'@en	0.21%
P8588	5	'Wisconsin National or State Registers Record ID'@en	0.21%
