property	count	property;label
P577	3793	'publication date'@en
P175	3758	'performer'@en
P646	3596	'Freebase ID'@en
P156	2895	'followed by'@en
P136	2890	'genre'@en
P436	2686	'MusicBrainz release group ID'@en
P155	2380	'follows'@en
P264	1874	'record label'@en
P1954	1537	'Discogs master ID'@en
P407	650	'language of work or name'@en
