property	count	property;label	percentage
P17	632	'country'@en	99.37%
P625	581	'coordinate location'@en	91.35%
P646	558	'Freebase ID'@en	87.74%
P131	554	'located in the administrative territorial entity'@en	87.11%
P18	482	'image'@en	75.79%
P856	424	'official website'@en	66.67%
P571	422	'inception'@en	66.35%
P373	342	'Commons category'@en	53.77%
P214	272	'VIAF ID'@en	42.77%
P7859	242	'WorldCat Identities ID'@en	38.05%
P276	217	'location'@en	34.12%
P244	186	'Library of Congress authority ID'@en	29.25%
P6375	116	'street address'@en	18.24%
P1435	105	'heritage designation'@en	16.51%
P1619	99	'date of official opening'@en	15.57%
